player,team,position,league,gls_p90_pct,ast_p90_pct,weight_source,league_strength
Mortadha Ben Ouanes,Tunisia,MID,TUR-Super Lig,0.5280898876404494,0.8146067415730337,fbref,0.8563656147986942
Luis Romo,Mexico,MID,MEX-Liga MX,0.5185185185185185,0.6111111111111112,fbref,0.8465723612622414
Hassan Kadish,Saudi Arabia,DEF,SAU-Saudi Pro League,0.5886075949367089,0.2721518987341772,fbref,0.8193688792165397
Obed Vargas,Mexico,MID,USA-MLS,0.7347826086956522,0.3173913043478261,fbref,0.8531011969532101
Julian Ryerson,Norway,DEF,GER-Bundesliga,0.1,0.9888888888888889,fbref,0.9412404787812839
Lamine Yamal,Spain,MID,ESP-La Liga,0.975609756097561,1.0,fbref,0.942328618063112
Diego Lainez,Mexico,MID,MEX-Liga MX,0.8653846153846154,0.8076923076923077,fbref,0.8465723612622414
Jules Koundé,France,DEF,ESP-La Liga,0.638095238095238,0.861904761904762,fbref,0.942328618063112
Malo Gusto,France,DEF,ENG-Premier League,0.75,0.8461538461538461,fbref,1.0
Jordan Ayew,Ghana,FWD,ENG2-EFL Championship,0.3333333333333333,0.7777777777777778,fbref,0.884657236126224
Timothy Weah,USA,MID,FRA-Ligue 1,0.6111111111111112,0.5,fbref,0.9303590859630032
José Córdoba,Panama,DEF,ENG2-EFL Championship,0.504424778761062,0.5575221238938053,fbref,0.884657236126224
Robin Hranác,Czechia,DEF,GER-Bundesliga,0.4253731343283582,0.26119402985074625,fbref,0.9412404787812839
Yoel Bárcenas,Panama,MID,MEX-Liga MX,0.5512820512820513,0.3782051282051282,fbref,0.8465723612622414
Patrick Schulte,USA,GK,USA-MLS,0.0,0.0,gk_neutral,0.8531011969532101
Ersin Destanoglu,Türkiye,GK,TUR-Super Lig,0.0,0.0,gk_neutral,0.8563656147986942
Ugurcan Çakir,Türkiye,GK,TUR-Super Lig,0.0,0.0,gk_neutral,0.8563656147986942
Viktor Johansson,Sweden,GK,ENG2-EFL Championship,0.0,0.0,gk_neutral,0.884657236126224
Deniz Undav,Germany,FWD,GER-Bundesliga,0.9411764705882353,0.9411764705882353,fbref,0.9412404787812839
Brian Rodríguez,Uruguay,FWD,MEX-Liga MX,1.0,0.6666666666666666,fbref,0.8465723612622414
Folarin Balogun,USA,FWD,FRA-Ligue 1,0.76,0.7,fbref,0.9303590859630032
Vitinha,Portugal,MID,ITA-Serie A,0.5,0.17857142857142858,fbref,0.9357997823721436
Viktor Gyökeres,Sweden,FWD,ENG-Premier League,0.8928571428571429,0.48214285714285715,fbref,1.0
Bukayo Saka,England,MID,ENG-Premier League,0.6875,0.875,fbref,1.0
Ajdin Hrustic,Australia,MID,NED-Eredivisie,0.16666666666666666,0.8680555555555556,fbref,0.8531011969532101
Jean-Philippe Mateta,France,FWD,ENG-Premier League,0.6071428571428571,0.17857142857142858,fbref,1.0
Remo Freuler,Switzerland,MID,ITA-Serie A,0.29906542056074764,0.5046728971962616,fbref,0.9357997823721436
Mousa Al Tamari,Jordan,FWD,FRA-Ligue 1,0.5769230769230769,0.75,fbref,0.9303590859630032
Maxi Araújo,Uruguay,MID,POR-Primeira Liga,1.0,0.9411764705882353,fbref,0.8857453754080522
Andrej Kramaric,Croatia,FWD,GER-Bundesliga,1.0,0.7258064516129032,fbref,0.9412404787812839
Tim Ream,USA,DEF,USA-MLS,0.24436090225563908,0.2631578947368421,fbref,0.8531011969532101
Ivan Perisic,Croatia,FWD,NED-Eredivisie,0.6794871794871795,1.0,fbref,0.8531011969532101
Tomás Soucek,Czechia,MID,ENG-Premier League,0.7570093457943925,0.07476635514018691,fbref,1.0
Dan Burn,England,DEF,ENG-Premier League,0.609375,0.7552083333333334,fbref,1.0
Roberto Alvarado,Mexico,FWD,MEX-Liga MX,0.6794871794871795,0.6987179487179487,fbref,0.8465723612622414
Raúl Jiménez,Mexico,FWD,ENG-Premier League,0.42857142857142855,0.8928571428571429,fbref,1.0
Djibril Sow,Switzerland,MID,ESP-La Liga,0.845360824742268,0.6649484536082474,fbref,0.942328618063112
Alejandro Gómez,Mexico,DEF,MEX-Liga MX,0.7962962962962963,0.14814814814814814,fbref,0.8465723612622414
Lee Jae-Sung,Korea Republic,MID,GER-Bundesliga,0.3225806451612903,0.3225806451612903,fbref,0.9412404787812839
Marcos Llorente,Spain,DEF,ESP-La Liga,0.21052631578947367,1.0,fbref,0.942328618063112
Charles De Ketelaere,Belgium,MID,ITA-Serie A,0.38095238095238093,0.8095238095238095,fbref,0.9357997823721436
Felix Nmecha,Germany,MID,GER-Bundesliga,0.3888888888888889,0.6,fbref,0.9412404787812839
Ismaïla Sarr,Senegal,FWD,ENG-Premier League,0.9626168224299065,0.22429906542056074,fbref,1.0
Bremer,Brazil,DEF,ITA-Serie A,0.9943181818181818,0.9602272727272727,fbref,0.9357997823721436
Valentín Barco,Argentina,MID,FRA-Ligue 1,0.47435897435897434,0.782051282051282,fbref,0.9303590859630032
Franck Kessie,Côte d'Ivoire,MID,SAU-Saudi Pro League,0.9090909090909091,0.6363636363636364,fbref,0.8193688792165397
Khalid Al Ghannam,Saudi Arabia,FWD,SAU-Saudi Pro League,0.9705882352941176,0.8529411764705882,fbref,0.8193688792165397
Kim Tae-Hyeon,Korea Republic,DEF,JPN-J1 League,0.24444444444444444,0.5777777777777777,fbref,0.8487486398258977
Auston Trusty,USA,DEF,SCO-Premiership,0.21568627450980393,0.3235294117647059,fbref,0.823721436343852
Lautaro Martínez,Argentina,FWD,ITA-Serie A,0.9787234042553191,0.9042553191489362,fbref,0.9357997823721436
Iñaki Williams,Ghana,FWD,ESP-La Liga,0.4146341463414634,0.8292682926829268,fbref,0.942328618063112
Ali Majrashi,Saudi Arabia,DEF,SAU-Saudi Pro League,0.5886075949367089,0.9430379746835443,fbref,0.8193688792165397
Jesús Gallardo,Mexico,DEF,MEX-Liga MX,0.9814814814814815,0.9259259259259259,fbref,0.8465723612622414
Duje Caleta-Car,Croatia,DEF,ESP-La Liga,0.638095238095238,0.22857142857142856,fbref,0.942328618063112
Yerry Mina,Colombia,DEF,ITA-Serie A,0.7897727272727273,0.3068181818181818,fbref,0.9357997823721436
Ryan Thomas,New Zealand,MID,NED-Eredivisie,0.16666666666666666,0.22916666666666666,fbref,0.8531011969532101
Olwethu Makhanya,South Africa,DEF,USA-MLS,0.5902255639097744,0.2631578947368421,fbref,0.8531011969532101
Mohamed Salah,Egypt,MID,ENG-Premier League,0.9018691588785047,0.9485981308411215,fbref,1.0
Rúben Dias,Portugal,DEF,ENG-Premier League,0.796875,0.22916666666666666,fbref,1.0
Arthur Theate,Belgium,DEF,GER-Bundesliga,0.4253731343283582,0.26119402985074625,fbref,0.9412404787812839
Matías Soulé,Argentina,MID,ITA-Serie A,0.7619047619047619,0.8095238095238095,fbref,0.9357997823721436
John McGinn,Scotland,MID,ENG-Premier League,0.780373831775701,0.7429906542056075,fbref,1.0
Ismael Saibari,Morocco,MID,NED-Eredivisie,1.0,0.8717948717948718,fbref,0.8531011969532101
Marcus Pedersen,Norway,DEF,ITA-Serie A,0.5476190476190477,0.5952380952380952,fbref,0.9357997823721436
Kees Smit,Netherlands,MID,NED-Eredivisie,0.5138888888888888,0.5694444444444444,fbref,0.8531011969532101
Sebastián Cáceres,Uruguay,DEF,MEX-Liga MX,0.25,0.2916666666666667,fbref,0.8465723612622414
Pape Gueye,Senegal,MID,ESP-La Liga,0.845360824742268,0.4587628865979381,fbref,0.942328618063112
Ederson,Brazil,GK,TUR-Super Lig,0.0,0.0,gk_neutral,0.8563656147986942
Mark Flekken,Netherlands,GK,GER-Bundesliga,0.0,0.0,gk_neutral,0.9412404787812839
Efraín Álvarez,Mexico,MID,MEX-Liga MX,0.5833333333333334,0.9294871794871795,fbref,0.8465723612622414
Samir El Mourabet,Morocco,MID,FRA-Ligue 1,0.23076923076923078,0.4807692307692308,fbref,0.9303590859630032
Sadio Mané,Senegal,MID,SAU-Saudi Pro League,0.9841269841269841,0.8571428571428571,fbref,0.8193688792165397
Diego Gómez,Paraguay,MID,ENG-Premier League,0.5333333333333333,0.1,fbref,1.0
Amir Hadziahmetovic,Bosnia and Herzegovina,MID,ENG2-EFL Championship,0.0880503144654088,0.4591194968553459,fbref,0.884657236126224
Torbjørn Heggem,Norway,DEF,ITA-Serie A,0.23863636363636365,0.3068181818181818,fbref,0.9357997823721436
Agustín Canobbio,Uruguay,FWD,BRA-Serie A,0.7428571428571429,0.580952380952381,fbref,0.9042437431991294
George Hirst,Scotland,FWD,ENG2-EFL Championship,0.8289473684210527,0.7763157894736842,fbref,0.884657236126224
Braian Ojeda,Paraguay,MID,USA-MLS,0.6521739130434783,0.14347826086956522,fbref,0.8531011969532101
Pedri,Spain,MID,ESP-La Liga,0.6185567010309279,0.9742268041237113,fbref,0.942328618063112
Armin Gigovic,Bosnia and Herzegovina,MID,SUI-Super League,0.1724137931034483,0.8448275862068966,fbref,0.8433079434167573
Patrick Yazbek,Australia,MID,USA-MLS,0.391304347826087,0.14347826086956522,fbref,0.8531011969532101
Damián Bobadilla,Paraguay,MID,BRA-Serie A,0.7428571428571429,0.580952380952381,fbref,0.9042437431991294
Giuliano Simeone,Argentina,MID,ESP-La Liga,0.788659793814433,0.9072164948453608,fbref,0.942328618063112
Ayoub El Kaabi,Morocco,FWD,GRE-Super League,1.0,0.55,fbref,0.8411316648531011
Antoine Mendy,Senegal,DEF,FRA-Ligue 1,0.6643835616438356,0.23972602739726026,fbref,0.9303590859630032
Michal Sadílek,Czechia,MID,CZE-First League,0.3125,0.8214285714285714,fbref,0.8400435255712732
Tomás Holes,Czechia,DEF,CZE-First League,0.7583333333333333,0.8583333333333333,fbref,0.8400435255712732
Nadiem Amiri,Germany,MID,GER-Bundesliga,0.9555555555555556,0.45,fbref,0.9412404787812839
Mohamed Kanno,Saudi Arabia,MID,SAU-Saudi Pro League,0.8412698412698413,0.8015873015873016,fbref,0.8193688792165397
Aaron Wan-Bissaka,Congo DR,DEF,ENG-Premier League,0.25,0.6923076923076923,fbref,1.0
Yéremy Pino,Spain,MID,ENG-Premier League,0.2,0.48333333333333334,fbref,1.0
Francisco Conceição,Portugal,MID,ITA-Serie A,0.4523809523809524,0.9047619047619048,fbref,0.9357997823721436
Johan Manzambi,Switzerland,MID,GER-Bundesliga,0.75,0.6722222222222223,fbref,0.9412404787812839
Ibrahim Sangaré,Côte d'Ivoire,MID,ENG-Premier League,0.43457943925233644,0.40654205607476634,fbref,1.0
Ricardo Velho,Portugal,GK,TUR-Super Lig,0.0,0.0,gk_neutral,0.8563656147986942
José Sá,Portugal,GK,ENG-Premier League,0.0,0.0,gk_neutral,1.0
Max Crocombe,New Zealand,GK,ENG2-EFL Championship,0.0,0.0,gk_neutral,0.884657236126224
Phillipp Mwene,Austria,DEF,GER-Bundesliga,0.2222222222222222,0.45,fbref,0.9412404787812839
Christ Inao Oulaï,Côte d'Ivoire,MID,TUR-Super Lig,0.5786516853932584,0.651685393258427,fbref,0.8563656147986942
Dani Olmo,Spain,MID,ESP-La Liga,0.9278350515463918,0.9587628865979382,fbref,0.942328618063112
Guéla Doué,Côte d'Ivoire,DEF,FRA-Ligue 1,0.7954545454545454,1.0,fbref,0.9303590859630032
Aymeric Laporte,Spain,DEF,ESP-La Liga,0.24761904761904763,0.5190476190476191,fbref,0.942328618063112
Jacob Italiano,Australia,DEF,AUT-Bundesliga,0.8913043478260869,0.11956521739130435,fbref,0.8291621327529923
Jordan Bos,Australia,DEF,NED-Eredivisie,1.0,0.9444444444444444,fbref,0.8531011969532101
Djed Spence,England,DEF,ENG-Premier League,0.25,0.21153846153846154,fbref,1.0
Yang Hyun-Jun,Korea Republic,FWD,SCO-Premiership,0.8333333333333334,0.26666666666666666,fbref,0.823721436343852
Martin Boyle,Australia,FWD,SCO-Premiership,0.5714285714285714,0.6428571428571429,fbref,0.823721436343852
Yan Valery,Tunisia,DEF,ENG2-EFL Championship,0.23529411764705882,0.23529411764705882,fbref,0.884657236126224
Ahmetcan Kaplan,Türkiye,DEF,NED-Eredivisie,0.4936708860759494,0.20253164556962025,fbref,0.8531011969532101
Merchas Doski,Iraq,DEF,CZE-First League,0.62,0.2,fbref,0.8400435255712732
Carlens Arcus,Haiti,DEF,FRA-Ligue 1,0.2945205479452055,0.8972602739726028,fbref,0.9303590859630032
Diego Moreira,Belgium,MID,FRA-Ligue 1,0.7628205128205128,0.9487179487179487,fbref,0.9303590859630032
Nestory Irankunda,Australia,FWD,ENG2-EFL Championship,0.35714285714285715,0.6666666666666666,fbref,0.884657236126224
Denis Zakaria,Switzerland,MID,FRA-Ligue 1,0.7954545454545454,0.3181818181818182,fbref,0.9303590859630032
Tyler Bindon,New Zealand,DEF,ENG2-EFL Championship,0.504424778761062,0.19911504424778761,fbref,0.884657236126224
Antonio Nusa,Norway,MID,GER-Bundesliga,0.11764705882352941,0.5882352941176471,fbref,0.9412404787812839
Maximilian Beier,Germany,FWD,GER-Bundesliga,0.9032258064516129,0.8709677419354839,fbref,0.9412404787812839
Tomás Ladra,Czechia,FWD,CZE-First League,0.8035714285714286,0.9642857142857143,fbref,0.8400435255712732
Brandley Kuwas,Curaçao,FWD,NED-Eredivisie,0.5256410256410257,0.48717948717948717,fbref,0.8531011969532101
Jonathan Tah,Germany,DEF,GER-Bundesliga,0.7313432835820896,0.5746268656716418,fbref,0.9412404787812839
Arda Güler,Türkiye,MID,ESP-La Liga,0.8092783505154639,0.9896907216494846,fbref,0.942328618063112
John Souttar,Scotland,DEF,SCO-Premiership,0.21568627450980393,0.3235294117647059,fbref,0.823721436343852
Daniel Jebbison,Canada,FWD,ENG2-EFL Championship,0.40789473684210525,0.5789473684210527,fbref,0.884657236126224
Jesús Angulo,Mexico,DEF,MEX-Liga MX,0.8974358974358975,0.8525641025641025,fbref,0.8465723612622414
Leonardo Balerdi,Argentina,DEF,FRA-Ligue 1,0.2945205479452055,0.547945205479452,fbref,0.9303590859630032
Nicolás Capaldo,Argentina,MID,GER-Bundesliga,0.4166666666666667,0.625,fbref,0.9412404787812839
Leandro Trossard,Belgium,MID,ENG-Premier League,0.625,0.9375,fbref,1.0
José Manuel López,Argentina,FWD,BRA-Serie A,1.0,0.2222222222222222,fbref,0.9042437431991294
Pathé Ciss,Senegal,MID,ESP-La Liga,0.6666666666666666,0.3333333333333333,fbref,0.942328618063112
Konrad Laimer,Austria,MID,GER-Bundesliga,0.8507462686567164,1.0,fbref,0.9412404787812839
Jeremy Antonisse,Curaçao,FWD,GRE-Super League,0.3076923076923077,0.6384615384615384,fbref,0.8411316648531011
Patrik Schick,Czechia,FWD,GER-Bundesliga,0.925,0.6,fbref,0.9412404787812839
Andrés Cubas,Paraguay,MID,USA-MLS,0.16956521739130434,0.14347826086956522,fbref,0.8531011969532101
Alexander Sørloth,Norway,FWD,ESP-La Liga,0.7777777777777778,0.125,fbref,0.942328618063112
Agustín Giay,Argentina,DEF,BRA-Serie A,0.2619047619047619,0.2619047619047619,fbref,0.9042437431991294
Isak Hien,Sweden,DEF,ITA-Serie A,0.6306818181818182,0.3068181818181818,fbref,0.9357997823721436
Sondre Langås,Norway,DEF,ENG2-EFL Championship,0.9557522123893806,0.6238938053097345,fbref,0.884657236126224
Ferran Torres,Spain,FWD,ESP-La Liga,0.9166666666666666,0.4444444444444444,fbref,0.942328618063112
Reece James,England,DEF,ENG-Premier League,0.8269230769230769,0.9615384615384616,fbref,1.0
Alisson Becker,Brazil,GK,BRA-Serie A,0.0,0.0,gk_neutral,0.9042437431991294
Tanner Tessmann,USA,MID,FRA-Ligue 1,0.27564102564102566,0.11538461538461539,fbref,0.9303590859630032
Kerem Aktürkoglu,Türkiye,FWD,TUR-Super Lig,0.8529411764705882,0.9411764705882353,fbref,0.8563656147986942
Leon Goretzka,Germany,MID,GER-Bundesliga,0.7833333333333333,0.6333333333333333,fbref,0.9412404787812839
Clément Akpa,Côte d'Ivoire,DEF,FRA-Ligue 1,0.2945205479452055,0.23972602739726026,fbref,0.9303590859630032
Haissem Hassan,Egypt,FWD,ESP-La Liga,0.06097560975609756,0.5609756097560976,fbref,0.942328618063112
Marcel Ruiz,Mexico,MID,MEX-Liga MX,0.6217948717948718,0.7692307692307693,fbref,0.8465723612622414
Mario Pasalic,Croatia,MID,ITA-Serie A,0.7242990654205608,0.897196261682243,fbref,0.9357997823721436
Alban Lafont,Côte d'Ivoire,GK,GRE-Super League,0.0,0.0,gk_neutral,0.8411316648531011
Nélson Semedo,Portugal,DEF,TUR-Super Lig,0.6726190476190477,0.9107142857142857,fbref,0.8563656147986942
Yasin Ayari,Sweden,MID,ENG-Premier League,0.6074766355140186,0.6542056074766355,fbref,1.0
Grant Hanley,Scotland,DEF,SCO-Premiership,0.21568627450980393,0.3235294117647059,fbref,0.823721436343852
Brian Brobbey,Netherlands,FWD,ENG-Premier League,0.39285714285714285,0.5535714285714286,fbref,1.0
Ismael Díaz,Panama,FWD,MEX-Liga MX,0.9393939393939394,0.803030303030303,fbref,0.8465723612622414
Jaminton Campaz,Colombia,MID,ARG-Primera Division,0.9251968503937008,0.48031496062992124,fbref,0.8781284004352556
Jonathan Osorio,Canada,MID,USA-MLS,0.8478260869565217,0.3695652173913043,fbref,0.8531011969532101
Rafik Belghali,Algeria,DEF,ITA-Serie A,0.5467289719626168,0.11682242990654206,fbref,0.9357997823721436
Jordan Henderson,England,MID,ENG-Premier League,0.21495327102803738,0.6542056074766355,fbref,1.0
Mohammed Amoura,Algeria,FWD,GER-Bundesliga,0.6764705882352942,0.6470588235294118,fbref,0.9412404787812839
Jude Bellingham,England,MID,ESP-La Liga,0.8969072164948454,0.7783505154639175,fbref,0.942328618063112
Thomas Meunier,Belgium,DEF,FRA-Ligue 1,0.8835616438356164,0.8424657534246576,fbref,0.9303590859630032
Oussama Targhalline,Morocco,MID,NED-Eredivisie,0.3819444444444444,0.7152777777777778,fbref,0.8531011969532101
Kerim Alajbegovic,Bosnia and Herzegovina,FWD,AUT-Bundesliga,0.8235294117647058,0.4117647058823529,fbref,0.8291621327529923
Daichi Kamada,Japan,MID,ENG-Premier League,0.06542056074766354,0.07476635514018691,fbref,1.0
Lucas Martínez Quarta,Argentina,DEF,ARG-Primera Division,0.7537878787878788,0.3143939393939394,fbref,0.8781284004352556
Nick Woltemade,Germany,FWD,ENG-Premier League,0.8125,0.625,fbref,1.0
Amar Dedic,Bosnia and Herzegovina,DEF,POR-Primeira Liga,0.5535714285714286,0.9523809523809523,fbref,0.8857453754080522
Marcus Thuram,France,FWD,ITA-Serie A,0.9148936170212766,0.9361702127659575,fbref,0.9357997823721436
Borja Iglesias,Spain,FWD,ESP-La Liga,0.8472222222222222,0.4444444444444444,fbref,0.942328618063112
Tomás Chory,Czechia,FWD,CZE-First League,1.0,0.8421052631578947,fbref,0.8400435255712732
Julián Alvarez,Argentina,FWD,ESP-La Liga,0.2916666666666667,0.8333333333333334,fbref,0.942328618063112
Ché Adams,Scotland,FWD,ITA-Serie A,0.43617021276595747,0.5851063829787234,fbref,0.9357997823721436
Houssem Aouar,Algeria,MID,SAU-Saudi Pro League,0.8529411764705882,0.5,fbref,0.8193688792165397
Atakan Karazor,Türkiye,MID,GER-Bundesliga,0.1,0.21666666666666667,fbref,0.9412404787812839
Julio Enciso,Paraguay,MID,FRA-Ligue 1,0.3076923076923077,0.8846153846153846,fbref,0.9303590859630032
Alfie Jones,Canada,DEF,ENG2-EFL Championship,0.588495575221239,0.6238938053097345,fbref,0.884657236126224
Salem Al Dawsari,Saudi Arabia,MID,SAU-Saudi Pro League,0.8333333333333334,0.8333333333333334,fbref,0.8193688792165397
Breel Embolo,Switzerland,FWD,FRA-Ligue 1,0.56,0.56,fbref,0.9303590859630032
Nawaf Bu Washl,Saudi Arabia,DEF,SAU-Saudi Pro League,0.2468354430379747,1.0,fbref,0.8193688792165397
Cristian Romero,Argentina,DEF,ENG-Premier League,1.0,0.609375,fbref,1.0
José Hurtado,Ecuador,DEF,BRA-Serie A,0.6090909090909091,0.2772727272727273,fbref,0.9042437431991294
Brandon Thomas-Asante,Ghana,FWD,ENG2-EFL Championship,1.0,0.7619047619047619,fbref,0.884657236126224
Youri Tielemans,Belgium,MID,ENG-Premier League,0.06542056074766354,0.8177570093457944,fbref,1.0
Stepán Chaloupek,Czechia,DEF,CZE-First League,1.0,0.7,fbref,0.8400435255712732
Manuel Neuer,Germany,GK,GER-Bundesliga,0.0,0.0,gk_neutral,0.9412404787812839
Josip Stanisic,Croatia,DEF,GER-Bundesliga,0.7761194029850746,0.9402985074626866,fbref,0.9412404787812839
David Zima,Czechia,DEF,CZE-First League,0.625,0.8833333333333333,fbref,0.8400435255712732
Tani Oluwaseyi,Canada,FWD,USA-MLS,0.65625,0.84375,fbref,0.8531011969532101
Junnosuke Suzuki,Japan,DEF,JPN-J1 League,0.24444444444444444,0.25,fbref,0.8487486398258977
Lucas Digne,France,DEF,ENG-Premier League,0.22395833333333334,1.0,fbref,1.0
Rafael Leão,Portugal,MID,ITA-Serie A,0.7872340425531915,0.6808510638297872,fbref,0.9357997823721436
Ibrahim Maza,Algeria,FWD,GER-Bundesliga,0.6,0.7333333333333333,fbref,0.9412404787812839
Lamine Camara,Senegal,MID,FRA-Ligue 1,0.7371794871794872,0.8141025641025641,fbref,0.9303590859630032
Timothy Castagne,Belgium,DEF,ENG-Premier League,0.25,0.21153846153846154,fbref,1.0
Xaver Schlager,Austria,MID,GER-Bundesliga,0.6,0.21666666666666667,fbref,0.9412404787812839
Liam Millar,Canada,FWD,ENG2-EFL Championship,0.6415094339622641,0.9276729559748428,fbref,0.884657236126224
Richard Ledezma,Mexico,DEF,MEX-Liga MX,0.3333333333333333,1.0,fbref,0.8465723612622414
Teun Koopmeiners,Netherlands,MID,ITA-Serie A,0.21428571428571427,0.14285714285714285,fbref,0.9357997823721436
Moteb Al Harbi,Saudi Arabia,DEF,SAU-Saudi Pro League,0.879746835443038,0.8924050632911392,fbref,0.8193688792165397
Gabriel Ávalos,Paraguay,FWD,ARG-Primera Division,1.0,0.5581395348837209,fbref,0.8781284004352556
Gonçalo Guedes,Portugal,FWD,ESP-La Liga,0.9896907216494846,0.8092783505154639,fbref,0.942328618063112
Lautaro Di Lollo,Argentina,DEF,ARG-Primera Division,0.9924242424242424,0.3143939393939394,fbref,0.8781284004352556
Tajon Buchanan,Canada,FWD,ESP-La Liga,0.9587628865979382,0.31443298969072164,fbref,0.942328618063112
Marcel Sabitzer,Austria,MID,GER-Bundesliga,0.25555555555555554,0.5222222222222223,fbref,0.9412404787812839
Kim Moon-Hwan,Korea Republic,DEF,KOR-K League 1,0.3148148148148148,0.9444444444444444,fbref,0.8204570184983678
Yunus Akgün,Türkiye,FWD,TUR-Super Lig,0.9438202247191011,0.9887640449438202,fbref,0.8563656147986942
Eberechi Eze,England,MID,ENG-Premier League,0.85,0.5666666666666667,fbref,1.0
Kristoffer Ajer,Norway,DEF,ENG-Premier League,0.22395833333333334,0.609375,fbref,1.0
Silvan Widmer,Switzerland,DEF,GER-Bundesliga,0.4888888888888889,0.21666666666666667,fbref,0.9412404787812839
Aníbal Moreno,Argentina,MID,BRA-Serie A,0.14761904761904762,0.38571428571428573,fbref,0.9042437431991294
Marcos Acuña,Argentina,DEF,ARG-Primera Division,0.2833333333333333,0.5,fbref,0.8781284004352556
Koni De Winter,Belgium,DEF,ITA-Serie A,0.6306818181818182,0.75,fbref,0.9357997823721436
Josip Sutalo,Croatia,DEF,NED-Eredivisie,0.18354430379746836,0.20253164556962025,fbref,0.8531011969532101
Zion Suzuki,Japan,GK,ITA-Serie A,0.0,0.0,gk_neutral,0.9357997823721436
Nikola Moro,Croatia,MID,ITA-Serie A,0.6121495327102804,0.11682242990654206,fbref,0.9357997823721436
Thelo Aasgaard,Norway,MID,SCO-Premiership,0.9830508474576272,0.8135593220338984,fbref,0.823721436343852
Alessandro Schöpf,Austria,MID,AUT-Bundesliga,0.9565217391304348,0.9347826086956522,fbref,0.8291621327529923
Anthony Gordon,England,MID,ENG-Premier League,0.32142857142857145,0.8392857142857143,fbref,1.0
Dayot Upamecano,France,DEF,GER-Bundesliga,0.5,0.6194029850746269,fbref,0.9412404787812839
Farès Chaïbi,Algeria,MID,GER-Bundesliga,0.4888888888888889,0.9666666666666667,fbref,0.9412404787812839
Abdulelah Al Amri,Saudi Arabia,DEF,SAU-Saudi Pro League,0.879746835443038,0.8924050632911392,fbref,0.8193688792165397
Rayan Cherki,France,MID,ENG-Premier League,0.7570093457943925,0.9906542056074766,fbref,1.0
Florian Wiegele,Austria,GK,CZE-First League,0.0,0.0,gk_neutral,0.8400435255712732
Wout Weghorst,Netherlands,FWD,NED-Eredivisie,0.5476190476190477,0.8095238095238095,fbref,0.8531011969532101
Jérémy Doku,Belgium,MID,ENG-Premier League,0.7,0.85,fbref,1.0
Jonathan David,Canada,FWD,ITA-Serie A,0.48936170212765956,0.8404255319148937,fbref,0.9357997823721436
Marvin Senaya,Ghana,DEF,FRA-Ligue 1,0.6363636363636364,0.11363636363636363,fbref,0.9303590859630032
Érick Sánchez,Mexico,MID,MEX-Liga MX,0.6538461538461539,0.16666666666666666,fbref,0.8465723612622414
John Mercado,Ecuador,FWD,CZE-First League,0.53125,0.625,fbref,0.8400435255712732
Petar Sucic,Croatia,MID,ITA-Serie A,0.6121495327102804,0.602803738317757,fbref,0.9357997823721436
Ismail Yüksek,Türkiye,MID,TUR-Super Lig,0.4044943820224719,0.5168539325842697,fbref,0.8563656147986942
Marcus Rashford,England,MID,ESP-La Liga,0.926829268292683,0.9512195121951219,fbref,0.942328618063112
Amadou Onana,Belgium,MID,ENG-Premier League,0.48598130841121495,0.07476635514018691,fbref,1.0
Jaroslav Zeleny,Czechia,DEF,CZE-First League,0.625,0.95,fbref,0.8400435255712732
Emiliano Buendía,Argentina,MID,ENG-Premier League,0.9252336448598131,0.4439252336448598,fbref,1.0
Xavi Simons,Netherlands,MID,ENG-Premier League,0.23333333333333334,0.9166666666666666,fbref,1.0
Ozan Kabak,Türkiye,DEF,GER-Bundesliga,0.9701492537313433,0.26119402985074625,fbref,0.9412404787812839
Lucas Hernández,France,DEF,FRA-Ligue 1,0.2945205479452055,0.952054794520548,fbref,0.9303590859630032
Feras Al Brikan,Saudi Arabia,FWD,SAU-Saudi Pro League,0.4444444444444444,0.3888888888888889,fbref,0.8193688792165397
Bradley Barcola,France,MID,FRA-Ligue 1,0.8,0.26,fbref,0.9303590859630032
Lee Tae-Seok,Korea Republic,DEF,AUT-Bundesliga,0.7065217391304348,0.8043478260869565,fbref,0.8291621327529923
Jefferson Lerma,Colombia,MID,ENG-Premier League,0.25,0.5833333333333334,fbref,1.0
Ronaldo Martínez,Paraguay,MID,ARG-Primera Division,1.0,0.7777777777777778,fbref,0.8781284004352556
Jacen Russell-Rowe,Canada,FWD,USA-MLS,0.34444444444444444,0.26666666666666666,fbref,0.8531011969532101
Andreas Schjelderup,Norway,FWD,POR-Primeira Liga,0.961038961038961,0.9090909090909091,fbref,0.8857453754080522
Yuto Nagatomo,Japan,DEF,JPN-J1 League,0.23076923076923078,0.7692307692307693,fbref,0.8487486398258977
Aníbal Godoy,Panama,MID,USA-MLS,0.43043478260869567,0.3695652173913043,fbref,0.8531011969532101
Germán Berterame,Mexico,FWD,MEX-Liga MX,0.6739130434782609,0.782608695652174,fbref,0.8465723612622414
Jindrich Stanek,Czechia,GK,CZE-First League,0.0,0.0,gk_neutral,0.8400435255712732
Juan Manuel Sanabria,Uruguay,MID,MEX-Liga MX,0.8888888888888888,0.9814814814814815,fbref,0.8465723612622414
Hicham Boudaoui,Algeria,MID,FRA-Ligue 1,0.27564102564102566,0.6089743589743589,fbref,0.9303590859630032
