player,team,position,league,gls_p90_pct,ast_p90_pct,weight_source,league_strength
Alexander Schlager,Austria,GK,AUT-Bundesliga,0.0,0.0,gk_neutral,0.8291621327529923
Matej Kovár,Czechia,GK,NED-Eredivisie,0.0,0.0,gk_neutral,0.8531011969532101
Carlos Coronel,Paraguay,GK,USA-MLS,0.0,0.0,gk_neutral,0.8531011969532101
Yvon Mvogo,Switzerland,GK,FRA-Ligue 1,0.0,0.0,gk_neutral,0.9303590859630032
Alexis Saelemaekers,Belgium,MID,ITA-Serie A,0.6121495327102804,0.602803738317757,fbref,0.9357997823721436
Nicolas Raskin,Belgium,MID,SCO-Premiership,0.847457627118644,0.8728813559322034,fbref,0.823721436343852
Christoph Baumgartner,Austria,MID,GER-Bundesliga,0.9444444444444444,0.8444444444444444,fbref,0.9412404787812839
Iliman Ndiaye,Senegal,FWD,ENG-Premier League,0.7242990654205608,0.4439252336448598,fbref,1.0
Matt Freese,USA,GK,USA-MLS,0.0,0.0,gk_neutral,0.8531011969532101
Vladimír Darida,Czechia,MID,CZE-First League,0.9732142857142857,0.6607142857142857,fbref,0.8400435255712732
Moussa Niakhaté,Senegal,DEF,FRA-Ligue 1,0.2945205479452055,0.7123287671232876,fbref,0.9303590859630032
Gabriel Magalhães,Brazil,DEF,ENG-Premier League,0.8854166666666666,0.8958333333333334,fbref,1.0
Rúben Neves,Portugal,MID,SAU-Saudi Pro League,1.0,0.8181818181818182,fbref,0.8193688792165397
Ivan Toney,England,FWD,SAU-Saudi Pro League,0.9473684210526315,0.9473684210526315,fbref,0.8193688792165397
Angelo Stiller,Germany,MID,GER-Bundesliga,0.32222222222222224,0.6555555555555556,fbref,0.9412404787812839
Máximo Perrone,Argentina,MID,ITA-Serie A,0.6121495327102804,0.7429906542056075,fbref,0.9357997823721436
Patrick Agyemang,USA,FWD,ENG2-EFL Championship,0.5833333333333334,0.6944444444444444,fbref,0.884657236126224
Federico Valverde,Uruguay,MID,ESP-La Liga,0.9166666666666666,1.0,fbref,0.942328618063112
Theo Hernández,France,DEF,SAU-Saudi Pro League,1.0,0.40476190476190477,fbref,0.8193688792165397
Jerome Opoku,Ghana,DEF,TUR-Super Lig,0.27976190476190477,0.47619047619047616,fbref,0.8563656147986942
Cody Gakpo,Netherlands,FWD,ENG-Premier League,0.5833333333333334,0.6666666666666666,fbref,1.0
Ismaël Koné,Canada,MID,ITA-Serie A,0.8504672897196262,0.11682242990654206,fbref,0.9357997823721436
Lee Dong-Gyeong,Korea Republic,MID,KOR-K League 1,0.5833333333333334,0.9791666666666666,fbref,0.8204570184983678
Johan Mojica,Colombia,DEF,ESP-La Liga,0.24761904761904763,0.8952380952380953,fbref,0.942328618063112
Zeki Çelik,Türkiye,DEF,ITA-Serie A,0.4523809523809524,0.5,fbref,0.9357997823721436
Eric García,Spain,DEF,ESP-La Liga,0.42105263157894735,0.3157894736842105,fbref,0.942328618063112
Finn Surman,New Zealand,DEF,USA-MLS,0.24436090225563908,0.2631578947368421,fbref,0.8531011969532101
Yanis Begraoui,Morocco,MID,POR-Primeira Liga,0.8333333333333334,0.23333333333333334,fbref,0.8857453754080522
Julián Quiñones,Mexico,FWD,SAU-Saudi Pro League,1.0,0.8157894736842105,fbref,0.8193688792165397
Moustapha Mbow,Senegal,DEF,FRA-Ligue 1,0.2945205479452055,0.4931506849315068,fbref,0.9303590859630032
Mikel Oyarzabal,Spain,FWD,ESP-La Liga,0.6388888888888888,0.7083333333333334,fbref,0.942328618063112
Marc Cucurella,Spain,DEF,ENG-Premier League,0.515625,0.8958333333333334,fbref,1.0
El Hadji Malick Diouf,Senegal,DEF,ENG-Premier League,0.25,0.9230769230769231,fbref,1.0
Miguel Almirón,Paraguay,MID,USA-MLS,0.5245901639344263,0.3770491803278688,fbref,0.8531011969532101
Pau Cubarsí,Spain,DEF,ESP-La Liga,0.5428571428571428,0.22857142857142856,fbref,0.942328618063112
