player,team,position,default_xmins
Alisson Becker,Brazil,GK,87.71
Fabinho,Brazil,MID,3.21
Casemiro,Brazil,MID,83.88
Lucas Paquetá,Brazil,MID,64.32
João Paulo,Cabo Verde,MID,6.31
Yannick Semedo,Cabo Verde,MID,6.31
Kevin Pina,Cabo Verde,MID,88.98
Steven Moreira,Cabo Verde,DEF,89.49
Wagner Pina,Cabo Verde,DEF,18.05
Pico,Cabo Verde,DEF,90.0
Kelvin Pires,Cabo Verde,DEF,6.31
Diney,Cabo Verde,DEF,88.81
Ryan Mendes,Cabo Verde,FWD,74.24
Jovane Cabral,Cabo Verde,FWD,27.84
Dailon Livramento,Cabo Verde,FWD,70.93
Nuno da Costa,Cabo Verde,FWD,8.07
Garry Rodrigues,Cabo Verde,FWD,22.75
Willy Semedo,Cabo Verde,FWD,34.69
Vozinha,Cabo Verde,GK,90.0
CJ dos Santos,Cabo Verde,GK,6.31
Márcio da Rosa,Cabo Verde,GK,6.31
Telmo Arcanjo,Cabo Verde,MID,25.03
Deroy Duarte,Cabo Verde,MID,23.4
Laros Duarte,Cabo Verde,MID,10.49
Richie Laryea,Canada,DEF,72.02
Derek Cornelius,Canada,DEF,73.59
Joel Waterman,Canada,DEF,17.86
Luc De Fougerolles,Canada,DEF,74.68
Jonathan David,Canada,FWD,74.62
Cyle Larin,Canada,FWD,61.0
Tajon Buchanan,Canada,FWD,64.18
Liam Millar,Canada,FWD,61.5
Tani Oluwaseyi,Canada,FWD,27.3
Maxime Crépeau,Canada,GK,80.85
Dayne St. Clair,Canada,GK,9.15
Owen Goodman,Canada,GK,0.0
Ali Ahmed,Canada,MID,16.49
Niko Sigur,Canada,MID,26.62
Nathan Saliba,Canada,MID,16.69
Mathieu Choinière,Canada,MID,30.78
Jonathan Osorio,Canada,MID,18.89
Kevin Castaño,Colombia,MID,19.16
Richard Ríos,Colombia,MID,69.05
Daniel Muñoz,Colombia,DEF,84.92
Jhon Lucumí,Colombia,DEF,84.62
Dávinson Sánchez,Colombia,DEF,85.24
Déiver Machado,Colombia,DEF,13.64
Johan Mojica,Colombia,DEF,84.61
Santiago Arias,Colombia,DEF,14.36
Luis Díaz,Colombia,MID,83.88
Jhon Córdoba,Colombia,FWD,22.78
Luis Suárez,Colombia,FWD,70.13
Andrés Gómez,Colombia,FWD,0.45
Camilo Vargas,Colombia,GK,87.23
David Ospina,Colombia,GK,0.14
Álvaro Montero,Colombia,GK,3.05
Jefferson Lerma,Colombia,MID,77.9
Gustavo Puerta,Colombia,MID,0.14
Juan Fernando Quintero,Colombia,MID,6.63
Jaminton Campaz,Colombia,MID,5.0
Jhon Arias,Colombia,MID,70.36
James Rodríguez,Colombia,MID,71.12
Jorge Carrascal,Colombia,MID,7.89
Aaron Wan-Bissaka,Congo DR,DEF,86.63
Arthur Masuaku,Congo DR,DEF,83.52
Chancel Mbemba,Congo DR,DEF,88.85
Axel Tuanzebe,Congo DR,DEF,88.08
Joris Kayembe,Congo DR,DEF,66.83
Dylan Batubinsika,Congo DR,DEF,12.48
Steve Kapuadi,Congo DR,DEF,0.07
Yoane Wissa,Congo DR,FWD,19.38
Simon Banza,Congo DR,FWD,5.14
Cédric Bakambu,Congo DR,FWD,66.73
Meschack Elia,Congo DR,FWD,62.26
Fiston Mayele,Congo DR,FWD,11.98
Nathanaël Mbuku,Congo DR,FWD,17.79
Brian Cipenga,Congo DR,FWD,3.4
Lionel Mpasi,Congo DR,GK,88.26
Matthieu Epolo,Congo DR,GK,0.07
Timothy Fayulu,Congo DR,GK,0.13
Ngal'ayel Mukau,Congo DR,MID,12.49
Samuel Moutoussamy,Congo DR,MID,88.26
Noah Sadiki,Congo DR,MID,19.35
Charles Pickel,Congo DR,MID,58.04
Edo Kayembe,Congo DR,MID,60.95
Théo Bongonda,Congo DR,MID,20.57
Christ Inao Oulaï,Côte d'Ivoire,MID,8.6
Evan Ndicka,Côte d'Ivoire,DEF,38.82
Wilfried Singo,Côte d'Ivoire,DEF,69.73
Ousmane Diomande,Côte d'Ivoire,DEF,6.77
Odilon Kossounou,Côte d'Ivoire,DEF,22.95
Guéla Doué,Côte d'Ivoire,DEF,74.65
Emmanuel Agbadou,Côte d'Ivoire,DEF,68.97
Ghislain Konan,Côte d'Ivoire,DEF,83.75
Yan Diomande,Côte d'Ivoire,FWD,72.35
Nicolas Pépé,Côte d'Ivoire,FWD,58.1
Elye Wahi,Côte d'Ivoire,FWD,69.99
Amad Diallo,Côte d'Ivoire,FWD,73.54
Simon Adingra,Côte d'Ivoire,FWD,21.3
Evann Guessand,Côte d'Ivoire,FWD,19.85
Bazoumana Touré,Côte d'Ivoire,FWD,5.14
Alban Lafont,Côte d'Ivoire,GK,4.46
Yahia Fofana,Côte d'Ivoire,GK,85.54
Mohamed Koné,Côte d'Ivoire,GK,0.0
Parfait Guiagon,Côte d'Ivoire,MID,1.06
Jean Michaël Seri,Côte d'Ivoire,MID,10.12
Ibrahim Sangaré,Côte d'Ivoire,MID,30.02
Franck Kessie,Côte d'Ivoire,MID,77.85
Seko Fofana,Côte d'Ivoire,MID,63.1
Petar Sucic,Croatia,MID,69.33
Josip Stanisic,Croatia,DEF,79.92
Josip Sutalo,Croatia,DEF,84.21
Duje Caleta-Car,Croatia,DEF,35.99
Marin Pongracic,Croatia,DEF,16.27
Martin Erlic,Croatia,DEF,5.7
Luka Vuskovic,Croatia,DEF,67.0
Ante Budimir,Croatia,FWD,54.05
Andrej Kramaric,Croatia,FWD,70.12
Ivan Perisic,Croatia,FWD,64.1
Marco Pasalic,Croatia,FWD,8.67
Petar Musa,Croatia,FWD,4.1
Igor Matanovic,Croatia,FWD,10.86
Dominik Livakovic,Croatia,GK,86.49
Ivor Pandur,Croatia,GK,0.0
Luka Sucic,Croatia,MID,13.46
Toni Fruk,Croatia,MID,9.84
Nikola Moro,Croatia,MID,7.47
Kristijan Jakic,Croatia,MID,20.65
Nikola Vlasic,Croatia,MID,5.66
Luka Modric,Croatia,MID,68.12
Mario Pasalic,Croatia,MID,29.66
Martin Baturina,Croatia,MID,18.95
Tahith Chong,Curaçao,MID,5.57
Godfried Roemeratoe,Curaçao,MID,14.44
Leandro Bacuna,Curaçao,DEF,82.2
Riechedly Bazoer,Curaçao,DEF,6.82
Joshua Brenet,Curaçao,DEF,78.31
Shurandy Sambo,Curaçao,DEF,83.35
Sherel Floranus,Curaçao,DEF,84.76
Roshon van Eijma,Curaçao,DEF,78.54
Ar'Jany Martha,Curaçao,DEF,2.54
Juriën Gaari,Curaçao,DEF,74.68
Livano Comenencia,Curaçao,DEF,72.1
Tyrese Noslin,Curaçao,DEF,3.19
Brandley Kuwas,Curaçao,FWD,3.44
Sontje Hansen,Curaçao,FWD,10.17
Kenji Gorré,Curaçao,FWD,77.16
Jearl Margaritha,Curaçao,FWD,68.72
Gervane Kastaneer,Curaçao,FWD,13.65
Jeremy Antonisse,Curaçao,FWD,18.04
Eloy Room,Curaçao,GK,85.78
Trevor Doornbusch,Curaçao,GK,0.17
Tyrick Bodak,Curaçao,GK,0.17
Kevin Felida,Curaçao,MID,3.66
Juninho Bacuna,Curaçao,MID,81.14
Denis Visinsky,Czechia,MID,0.0
Ladislav Krejcí,Czechia,DEF,89.15
Tomás Holes,Czechia,DEF,18.19
David Jurásek,Czechia,DEF,8.15
Robin Hranác,Czechia,DEF,84.38
Jaroslav Zeleny,Czechia,DEF,80.94
Vladimír Coufal,Czechia,DEF,86.7
Stepán Chaloupek,Czechia,DEF,74.12
Patrik Schick,Czechia,FWD,75.48
Tomás Chory,Czechia,FWD,18.15
Mojmír Chytil,Czechia,FWD,4.99
Matej Kovár,Czechia,GK,87.75
Lukás Hornícek,Czechia,GK,0.0
Lukás Cerv,Czechia,MID,22.19
Vladimír Darida,Czechia,MID,2.86
Tomás Soucek,Czechia,MID,85.85
Michal Sadílek,Czechia,MID,5.59
Lukás Provod,Czechia,MID,71.79
Pavel Sulc,Czechia,MID,79.54
Denil Castillo,Ecuador,MID,0.03
Jordy Alcívar,Ecuador,MID,3.75
Pervis Estupiñán,Ecuador,DEF,34.33
Ángelo Preciado,Ecuador,DEF,30.44
Joel Ordóñez,Ecuador,DEF,82.0
Félix Torres,Ecuador,DEF,37.83
Jackson Porozo,Ecuador,DEF,0.0
Yaimar Medina,Ecuador,DEF,0.25
Enner Valencia,Ecuador,FWD,71.02
Gonzalo Plata,Ecuador,FWD,72.0
John Yeboah,Ecuador,MID,51.19
Kevin Rodríguez,Ecuador,FWD,20.46
Alan Minda,Ecuador,FWD,48.4
Jordy Caicedo,Ecuador,FWD,2.04
Anthony Valencia,Ecuador,MID,0.0
Jeremy Arévalo,Ecuador,FWD,0.0
Hernán Galíndez,Ecuador,GK,85.59
Moisés Ramírez,Ecuador,GK,2.21
Gonzalo Valle,Ecuador,GK,2.21
Kendry Páez,Ecuador,MID,24.56
Alan Franco,Ecuador,MID,80.2
Pedro Vite,Ecuador,MID,76.43
Moisés Caicedo,Ecuador,MID,84.96
Marwan Attia,Egypt,MID,80.34
Zizo,Egypt,MID,65.44
Hamdi Fathy,Egypt,MID,74.75
Emam Ashour,Egypt,MID,67.76
Mahmoud Saber,Egypt,MID,7.6
Mohamed Abdelmonem,Egypt,DEF,79.95
Ahmed Fatouh,Egypt,DEF,21.51
Mohamed Hany,Egypt,DEF,83.37
Ramy Rabia,Egypt,DEF,87.16
Hossam Abdelmaguid,Egypt,DEF,17.9
Tarek Alaa,Egypt,DEF,0.85
Yasser Ibrahim,Egypt,DEF,31.56
Omar Marmoush,Egypt,FWD,69.15
Trezeguet,Egypt,FWD,73.67
Haissem Hassan,Egypt,FWD,0.85
Mohamed El Shenawy,Egypt,GK,86.05
El Mahdy Soliman,Egypt,GK,0.85
Mostafa Shobeir,Egypt,GK,5.65
Mohamed Alaa,Egypt,GK,0.85
Mohanad Lasheen,Egypt,MID,18.76
Ibrahim Adel,Egypt,MID,24.73
Nico O'Reilly,England,DEF,79.29
Marc Guéhi,England,DEF,36.02
Dan Burn,England,DEF,17.12
Ezri Konsa,England,DEF,70.47
John Stones,England,DEF,80.8
Djed Spence,England,DEF,5.09
Harry Kane,England,FWD,79.8
Bukayo Saka,England,MID,74.45
Marcus Rashford,England,MID,15.32
Anthony Gordon,England,MID,57.24
Morgan Rogers,England,MID,20.57
Noni Madueke,England,FWD,18.64
Jordan Pickford,England,GK,87.63
Dean Henderson,England,GK,2.37
James Trafford,England,GK,0.0
Jordan Henderson,England,MID,6.85
Kobbie Mainoo,England,MID,10.69
Elliot Anderson,England,MID,74.5
Declan Rice,England,MID,76.16
Jude Bellingham,England,MID,80.26
Theo Hernández,France,DEF,87.34
Maxence Lacroix,France,DEF,0.07
Dayot Upamecano,France,DEF,85.61
Ibrahima Konaté,France,DEF,18.02
Lucas Hernández,France,DEF,4.47
Lucas Digne,France,DEF,15.54
Malo Gusto,France,DEF,7.83
Kylian Mbappé,France,FWD,83.63
Ousmane Dembélé,France,MID,72.22
Marcus Thuram,France,FWD,10.14
Désiré Doué,France,MID,63.94
Mike Maignan,France,GK,88.12
Brice Samba,France,GK,0.07
N'Golo Kanté,France,MID,13.91
Adrien Rabiot,France,MID,65.26
Warren Zaïre-Emery,France,MID,4.63
Manu Koné,France,MID,19.13
Maghnes Akliouche,France,MID,3.59
Aurélien Tchouaméni,France,MID,82.88
Rayan Cherki,France,MID,4.39
Michael Olise,France,MID,69.35
Angelo Stiller,Germany,MID,7.88
Antonio Rüdiger,Germany,DEF,30.98
David Raum,Germany,DEF,31.88
Malick Thiaw,Germany,DEF,1.69
Jonathan Tah,Germany,DEF,78.17
