id,player,position,price,team,abbr
28,Cristian Romero,DEF,4.9,Argentina,ARG
29,Marcos Senesi,DEF,4.7,Argentina,ARG
30,Nahuel Molina,DEF,4.4,Argentina,ARG
31,Nicolás Otamendi,DEF,4.4,Argentina,ARG
34,Nicolás Tagliafico,DEF,4.3,Argentina,ARG
38,Lionel Messi,FWD,10.0,Argentina,ARG
39,Julián Alvarez,FWD,8.6,Argentina,ARG
41,Giuliano Simeone,MID,5.6,Argentina,ARG
42,Nico González,MID,5.6,Argentina,ARG
43,José Manuel López,FWD,5.3,Argentina,ARG
45,Emiliano Martínez,GK,5.0,Argentina,ARG
46,Gerónimo Rulli,GK,4.5,Argentina,ARG
47,Juan Musso,GK,4.3,Argentina,ARG
48,Leandro Paredes,MID,5.6,Argentina,ARG
50,Rodrigo De Paul,MID,5.9,Argentina,ARG
51,Nico Paz,MID,5.9,Argentina,ARG
53,Valentín Barco,MID,6.2,Argentina,ARG
54,Exequiel Palacios,MID,6.0,Argentina,ARG
55,Thiago Almada,MID,6.5,Argentina,ARG
56,Alexis Mac Allister,MID,6.6,Argentina,ARG
57,Enzo Fernández,MID,7.5,Argentina,ARG
114,Maxim De Cuyper,DEF,4.7,Belgium,BEL
115,Timothy Castagne,DEF,4.7,Belgium,BEL
116,Arthur Theate,DEF,4.5,Belgium,BEL
117,Thomas Meunier,DEF,4.8,Belgium,BEL
118,Zeno Debast,DEF,4.3,Belgium,BEL
119,Axel Witsel,MID,5.0,Belgium,BEL
120,Koni De Winter,DEF,4.2,Belgium,BEL
121,Brandon Mechele,DEF,3.9,Belgium,BEL
122,Joaquin Seys,DEF,3.9,Belgium,BEL
123,Nathan Ngoy,DEF,3.7,Belgium,BEL
124,Romelu Lukaku,FWD,7.4,Belgium,BEL
125,Jérémy Doku,MID,7.5,Belgium,BEL
127,Dodi Lukébakio,FWD,5.9,Belgium,BEL
128,Alexis Saelemaekers,MID,5.7,Belgium,BEL
129,Charles De Ketelaere,MID,5.6,Belgium,BEL
132,Senne Lammens,GK,4.6,Belgium,BEL
135,Nicolas Raskin,MID,5.3,Belgium,BEL
136,Amadou Onana,MID,5.9,Belgium,BEL
137,Youri Tielemans,MID,6.1,Belgium,BEL
138,Kevin De Bruyne,MID,7.5,Belgium,BEL
246,Kevin Castaño,MID,4.3,Colombia,COL
247,Richard Ríos,MID,4.7,Colombia,COL
248,Daniel Muñoz,DEF,4.6,Colombia,COL
249,Jhon Lucumí,DEF,4.3,Colombia,COL
250,Dávinson Sánchez,DEF,4.3,Colombia,COL
251,Déiver Machado,DEF,3.9,Colombia,COL
252,Johan Mojica,DEF,3.9,Colombia,COL
253,Santiago Arias,DEF,3.9,Colombia,COL
256,Luis Díaz,MID,8.1,Colombia,COL
257,Jhon Córdoba,FWD,6.1,Colombia,COL
259,Luis Suárez,FWD,5.7,Colombia,COL
261,Andrés Gómez,FWD,4.9,Colombia,COL
262,Camilo Vargas,GK,4.3,Colombia,COL
263,David Ospina,GK,4.0,Colombia,COL
264,Álvaro Montero,GK,3.8,Colombia,COL
265,Jefferson Lerma,MID,4.9,Colombia,COL
266,Gustavo Puerta,MID,5.3,Colombia,COL
267,Juan Fernando Quintero,MID,5.6,Colombia,COL
268,Jaminton Campaz,MID,5.5,Colombia,COL
269,Jhon Arias,MID,6.3,Colombia,COL
270,James Rodríguez,MID,6.5,Colombia,COL
271,Jorge Carrascal,MID,6.1,Colombia,COL
432,Marwan Attia,MID,4.3,Egypt,EGY
433,Zizo,MID,4.3,Egypt,EGY
434,Hamdi Fathy,MID,4.4,Egypt,EGY
435,Emam Ashour,MID,4.6,Egypt,EGY
436,Mahmoud Saber,MID,4.9,Egypt,EGY
437,Mohamed Abdelmonem,DEF,4.0,Egypt,EGY
438,Ahmed Fatouh,DEF,3.9,Egypt,EGY
439,Mohamed Hany,DEF,3.6,Egypt,EGY
440,Ramy Rabia,DEF,3.6,Egypt,EGY
441,Hossam Abdelmaguid,DEF,3.6,Egypt,EGY
442,Tarek Alaa,DEF,3.5,Egypt,EGY
444,Yasser Ibrahim,DEF,3.5,Egypt,EGY
445,Omar Marmoush,FWD,7.8,Egypt,EGY
447,Trezeguet,FWD,5.6,Egypt,EGY
448,Haissem Hassan,FWD,4.6,Egypt,EGY
451,Mohamed El Shenawy,GK,3.6,Egypt,EGY
452,El Mahdy Soliman,GK,3.6,Egypt,EGY
453,Mostafa Shobeir,GK,3.5,Egypt,EGY
454,Mohamed Alaa,GK,3.5,Egypt,EGY
455,Mohanad Lasheen,MID,5.3,Egypt,EGY
456,Ibrahim Adel,MID,5.9,Egypt,EGY
457,Nico O'Reilly,DEF,4.7,England,ENG
461,Marc Guéhi,DEF,5.1,England,ENG
462,Dan Burn,DEF,4.5,England,ENG
463,Ezri Konsa,DEF,4.8,England,ENG
466,John Stones,DEF,4.6,England,ENG
467,Djed Spence,DEF,4.5,England,ENG
468,Harry Kane,FWD,10.5,England,ENG
469,Bukayo Saka,MID,9.5,England,ENG
471,Marcus Rashford,MID,7.5,England,ENG
474,Anthony Gordon,MID,7.0,England,ENG
475,Morgan Rogers,MID,7.2,England,ENG
476,Noni Madueke,FWD,6.1,England,ENG
477,Jordan Pickford,GK,4.8,England,ENG
478,Dean Henderson,GK,4.2,England,ENG
479,James Trafford,GK,4.0,England,ENG
482,Jordan Henderson,MID,5.1,England,ENG
485,Kobbie Mainoo,MID,6.1,England,ENG
486,Elliot Anderson,MID,6.5,England,ENG
488,Declan Rice,MID,7.0,England,ENG
491,Jude Bellingham,MID,8.3,England,ENG
492,Theo Hernández,DEF,5.0,France,FRA
493,Maxence Lacroix,DEF,4.5,France,FRA
494,Dayot Upamecano,DEF,5.3,France,FRA
495,Ibrahima Konaté,DEF,4.9,France,FRA
496,Lucas Hernández,DEF,5.2,France,FRA
498,Lucas Digne,DEF,5.0,France,FRA
499,Malo Gusto,DEF,5.1,France,FRA
500,Kylian Mbappé,FWD,10.5,France,FRA
501,Ousmane Dembélé,MID,10.0,France,FRA
502,Marcus Thuram,FWD,7.5,France,FRA
505,Désiré Doué,MID,7.5,France,FRA
506,Mike Maignan,GK,5.0,France,FRA
508,Brice Samba,GK,4.5,France,FRA
509,N'Golo Kanté,MID,5.1,France,FRA
510,Adrien Rabiot,MID,6.4,France,FRA
511,Warren Zaïre-Emery,MID,6.1,France,FRA
512,Manu Koné,MID,6.1,France,FRA
514,Maghnes Akliouche,MID,6.4,France,FRA
515,Aurélien Tchouaméni,MID,6.5,France,FRA
516,Rayan Cherki,MID,8.0,France,FRA
517,Michael Olise,MID,9.5,France,FRA
765,Samir El Mourabet,MID,4.7,Morocco,MAR
773,Anass Salah-Eddine,DEF,3.9,Morocco,MAR
777,Ayoub El Kaabi,FWD,5.9,Morocco,MAR
782,Gessime Yassine,FWD,4.0,Morocco,MAR
792,Ismael Saibari,MID,6.8,Morocco,MAR
841,Sander Berge,MID,4.7,Norway,NOR
843,Oscar Bobb,MID,5.1,Norway,NOR
844,Morten Thorsby,MID,5.6,Norway,NOR
845,Patrick Berg,MID,5.6,Norway,NOR
846,Kristoffer Ajer,DEF,4.3,Norway,NOR
847,Julian Ryerson,DEF,4.2,Norway,NOR
848,Marcus Pedersen,DEF,4.1,Norway,NOR
849,Leo Østigård,DEF,4.1,Norway,NOR
850,David Møller Wolfe,DEF,4.0,Norway,NOR
851,Fredrik Bjørkan,DEF,4.0,Norway,NOR
852,Torbjørn Heggem,DEF,3.7,Norway,NOR
854,Henrik Falchener,DEF,3.5,Norway,NOR
855,Erling Haaland,FWD,10.5,Norway,NOR
856,Alexander Sørloth,FWD,6.8,Norway,NOR
857,Andreas Schjelderup,FWD,6.2,Norway,NOR
858,Jørgen Strand Larsen,FWD,5.6,Norway,NOR
859,Ørjan Nyland,GK,4.2,Norway,NOR
860,Egil Selvik,GK,3.8,Norway,NOR
862,Jens Petter Hauge,MID,5.9,Norway,NOR
863,Antonio Nusa,MID,6.1,Norway,NOR
864,Kristian Thorstvedt,MID,6.2,Norway,NOR
915,Samú Costa,MID,5.6,Portugal,POR
916,Nuno Mendes,DEF,5.8,Portugal,POR
917,João Cancelo,DEF,5.3,Portugal,POR
918,Diogo Dalot,DEF,5.0,Portugal,POR
919,Gonçalo Inácio,DEF,4.6,Portugal,POR
921,Renato Veiga,DEF,4.3,Portugal,POR
922,Tomás Araújo,DEF,4.1,Portugal,POR
923,Gonçalo Ramos,FWD,7.5,Portugal,POR
924,João Félix,FWD,6.5,Portugal,POR
925,Pedro Neto,MID,6.4,Portugal,POR
926,Trincão,FWD,5.9,Portugal,POR
927,Gonçalo Guedes,FWD,5.8,Portugal,POR
928,Francisco Conceição,MID,5.7,Portugal,POR
931,Rui Silva,GK,4.7,Portugal,POR
932,José Sá,GK,4.7,Portugal,POR
934,Rúben Neves,MID,5.9,Portugal,POR
935,Matheus Nunes,MID,6.1,Portugal,POR
936,Vitinha,MID,6.4,Portugal,POR
937,João Neves,MID,6.5,Portugal,POR
939,Bruno Fernandes,MID,8.5,Portugal,POR
1081,Yéremy Pino,MID,5.9,Spain,ESP
1082,Álex Baena,MID,6.0,Spain,ESP
1084,Martín Zubimendi,MID,6.1,Spain,ESP
1085,Pedro Porro,DEF,5.5,Spain,ESP
1086,Aymeric Laporte,DEF,5.5,Spain,ESP
1087,Alejandro Grimaldo,DEF,4.9,Spain,ESP
1088,Marc Cucurella,DEF,5.1,Spain,ESP
1089,Pau Cubarsí,DEF,5.0,Spain,ESP
1092,Lamine Yamal,MID,10.0,Spain,ESP
1093,Ferran Torres,FWD,7.8,Spain,ESP
1094,Mikel Oyarzabal,FWD,8.1,Spain,ESP
1095,Borja Iglesias,FWD,6.8,Spain,ESP
1097,Víctor Muñoz,FWD,4.0,Spain,ESP
1098,David Raya,GK,5.0,Spain,ESP
1099,Unai Simón,GK,5.0,Spain,ESP
1101,Joan García,GK,4.0,Spain,ESP
1102,Marcos Llorente,DEF,5.5,Spain,ESP
1104,Rodri,MID,7.5,Spain,ESP
1105,Dani Olmo,MID,7.7,Spain,ESP
1106,Pedri,MID,8.1,Spain,ESP
1133,Johan Manzambi,MID,5.6,Switzerland,SUI
1135,Granit Xhaka,MID,6.2,Switzerland,SUI
1137,Michel Aebischer,MID,5.9,Switzerland,SUI
1138,Remo Freuler,MID,5.9,Switzerland,SUI
1139,Ardon Jashari,MID,5.2,Switzerland,SUI
1140,Fabian Rieder,MID,6.2,Switzerland,SUI
1141,Manuel Akanji,DEF,5.0,Switzerland,SUI
1142,Ricardo Rodríguez,DEF,4.5,Switzerland,SUI
1143,Nico Elvedi,DEF,4.3,Switzerland,SUI
1144,Silvan Widmer,DEF,4.2,Switzerland,SUI
1145,Miro Muheim,DEF,4.0,Switzerland,SUI
1146,Eray Cömert,DEF,3.9,Switzerland,SUI
1147,Aurèle Amenda,DEF,3.7,Switzerland,SUI
1148,Luca Jaquez,DEF,3.5,Switzerland,SUI
1149,Breel Embolo,FWD,7.5,Switzerland,SUI
1150,Noah Okafor,FWD,5.9,Switzerland,SUI
1151,Dan Ndoye,FWD,6.8,Switzerland,SUI
1153,Gregor Kobel,GK,4.7,Switzerland,SUI
1154,Yvon Mvogo,GK,4.2,Switzerland,SUI
1155,Marvin Keller,GK,3.7,Switzerland,SUI
1156,Djibril Sow,MID,6.1,Switzerland,SUI
1157,Denis Zakaria,MID,6.1,Switzerland,SUI
1158,Rubén Vargas,MID,6.8,Switzerland,SUI
1249,Cristian Roldan,MID,4.7,USA,USA
1250,Sebastian Berhalter,MID,4.7,USA,USA
1253,Brenden Aaronson,MID,5.7,USA,USA
1254,Malik Tillman,MID,6.1,USA,USA
1255,Weston McKennie,MID,6.1,USA,USA
1256,Giovanni Reyna,MID,5.5,USA,USA
1258,Antonee Robinson,DEF,5.0,USA,USA
1259,Chris Richards,DEF,4.1,USA,USA
1260,Joe Scally,DEF,4.1,USA,USA
1261,Tim Ream,DEF,3.9,USA,USA
1262,Mark McKenzie,DEF,3.9,USA,USA
1263,Auston Trusty,DEF,3.9,USA,USA
1264,Alexander Freeman,DEF,4.0,USA,USA
1265,Timothy Weah,MID,5.8,USA,USA
1266,Ricardo Pepi,FWD,5.9,USA,USA
1267,Folarin Balogun,FWD,6.0,USA,USA
1269,Max Arfsten,FWD,4.4,USA,USA
1270,Matt Turner,GK,4.0,USA,USA
1271,Matt Freese,GK,4.2,USA,USA
1273,Chris Brady,GK,3.5,USA,USA
1274,Christian Pulisic,MID,7.0,USA,USA
1318,Lisandro Martínez,DEF,4.6,Argentina,ARG
1320,Facundo Medina,DEF,4.0,Argentina,ARG
1323,Gonzalo Montiel,DEF,4.3,Argentina,ARG
1326,Giovani Lo Celso,MID,6.2,Argentina,ARG
1338,Lautaro Martínez,FWD,8.8,Argentina,ARG
1374,Yerry Mina,DEF,4.2,Colombia,COL
1379,Willer Ditta,DEF,3.7,Colombia,COL
1385,Juan Portilla,MID,4.7,Colombia,COL
1396,Cucho Hernández,FWD,6.3,Colombia,COL
1428,Robin Risser,GK,3.5,France,FRA
1429,William Saliba,DEF,5.3,France,FRA
1430,Jules Koundé,DEF,5.4,France,FRA
1431,Bradley Barcola,MID,8.0,France,FRA
1432,Jean-Philippe Mateta,FWD,6.5,France,FRA
1522,Thibaut Courtois,GK,4.9,Belgium,BEL
1523,Mike Penders,GK,3.5,Belgium,BEL
1524,Hans Vanaken,MID,5.5,Belgium,BEL
1525,Matias Fernandez-Pardo,FWD,5.6,Belgium,BEL
1526,Leandro Trossard,MID,6.6,Belgium,BEL
1527,Diego Moreira,MID,4.7,Belgium,BEL
1569,Diogo Costa,GK,4.9,Portugal,POR
1570,Rúben Dias,DEF,5.0,Portugal,POR
1571,Nélson Semedo,DEF,4.3,Portugal,POR
1572,Bernardo Silva,MID,7.8,Portugal,POR
1573,Cristiano Ronaldo,FWD,10.0,Portugal,POR
1574,Rafael Leão,MID,7.8,Portugal,POR
1581,Christian Fassnacht,MID,6.1,Switzerland,SUI
1582,Zeki Amdouni,FWD,4.9,Switzerland,SUI
1583,Cedric Itten,FWD,5.4,Switzerland,SUI
1592,Karim Hafez,DEF,3.9,Egypt,EGY
1593,Nabil Emad Dunga,MID,4.3,Egypt,EGY
1594,Mostafa Zico,MID,4.2,Egypt,EGY
1596,Hamza Abdelkarim,FWD,4.3,Egypt,EGY
1597,Mohamed Salah,MID,10.0,Egypt,EGY
1665,Munir El Kajoui,GK,4.0,Morocco,MAR
1668,Youssef Belammari,DEF,3.6,Morocco,MAR
1674,Ayyoub Bouaddi,MID,5.5,Morocco,MAR
1675,Marwane Saadane,MID,4.7,Morocco,MAR
1676,Ayoube Amaimouni-Echghouyab,FWD,4.3,Morocco,MAR
1681,Sander Tangvik,GK,3.5,Norway,NOR
1682,Thelo Aasgaard,MID,5.5,Norway,NOR
