id,player,position,price,team,abbr
1683,Fredrik Aursnes,MID,6.5,Norway,NOR
1684,Martin Ødegaard,MID,7.7,Norway,NOR
1708,Jarell Quansah,DEF,4.4,England,ENG
1709,Reece James,DEF,5.2,England,ENG
1710,Eberechi Eze,MID,8.0,England,ENG
1711,Ollie Watkins,FWD,7.9,England,ENG
1712,Ivan Toney,FWD,7.5,England,ENG
1713,Amine Sbaï,FWD,4.8,Morocco,MAR
1714,Sondre Langås,DEF,4.0,Norway,NOR
1995,Eric García,DEF,4.5,Spain,ESP
1996,Marc Pubill,DEF,4.2,Spain,ESP
1997,Mikel Merino,MID,6.2,Spain,ESP
1998,Fabián Ruiz,MID,6.8,Spain,ESP
1999,Gavi,MID,6.5,Spain,ESP
2000,Nico Williams,MID,7.8,Spain,ESP
2009,Ahmed Tagnaouti,GK,3.5,Morocco,MAR
2010,Yassine Bounou,GK,4.7,Morocco,MAR
2012,Achraf Hakimi,DEF,6.0,Morocco,MAR
2013,Chadi Riad,DEF,3.9,Morocco,MAR
2014,Noussair Mazraoui,DEF,4.4,Morocco,MAR
2015,Redouane Halhal,DEF,3.5,Morocco,MAR
2016,Issa Diop,DEF,4.5,Morocco,MAR
2017,Zakaria El Ouahdi,DEF,4.1,Morocco,MAR
2018,Sofyan Amrabat,MID,5.9,Morocco,MAR
2019,Neil El Aynaoui,MID,5.6,Morocco,MAR
2020,Brahim Díaz,MID,6.4,Morocco,MAR
2021,Azzedine Ounahi,MID,6.2,Morocco,MAR
2022,Bilal El Khannouss,MID,6.2,Morocco,MAR
2023,Soufiane Rahimi,FWD,5.6,Morocco,MAR
2025,Chemsdine Talbi,FWD,4.4,Morocco,MAR
2031,Sergiño Dest,DEF,4.3,USA,USA
2032,Miles Robinson,DEF,4.0,USA,USA
2033,Tyler Adams,MID,5.3,USA,USA
2034,Haji Wright,FWD,5.3,USA,USA
2035,Álex Zendejas,MID,5.5,USA,USA
2078,Trevoh Chalobah,DEF,4.5,England,ENG
