abbr,round,cond_scored,cond_conceded,p_play
CRO,7,1.0283,1.6322,0.0465
CUW,7,0.0,0.0,0.0
CZE,7,0.0,0.0,0.0
ECU,7,1.0646,1.348,0.0803
EGY,7,0.8643,1.9257,0.032
ENG,7,1.2689,1.1714,0.25
FRA,7,1.4672,1.0908,0.3886
GER,7,1.4364,1.4728,0.2097
GHA,7,0.6883,2.311,0.0047
HAI,7,0.0,0.0,0.0
IRN,7,0.7381,2.1433,0.0064
IRQ,7,0.594,2.6252,0.0
JPN,7,0.9696,1.7141,0.0574
JOR,7,0.0,0.0,0.0
KOR,7,0.7929,1.9865,0.0108
MEX,7,0.8886,1.6129,0.1761
MAR,7,0.9618,1.3727,0.1025
NED,7,1.2937,1.3762,0.2153
NZL,7,0.5457,3.1965,0.0001
NOR,7,1.2554,1.4157,0.227
PAN,7,0.7705,2.1062,0.0001
PAR,7,0.9148,1.6626,0.0374
POR,7,1.3445,1.2428,0.2163
QAT,7,0.0,0.0,0.0
KSA,7,0.6008,2.6416,0.0008
SCO,7,0.8116,2.0462,0.0018
SEN,7,0.9575,1.4963,0.0301
RSA,7,0.6461,2.3126,0.0083
ESP,7,1.6403,1.0725,0.405
SWE,7,0.7889,2.2205,0.0109
SUI,7,1.1436,1.4817,0.0781
TUN,7,0.0,0.0,0.0
TUR,7,0.0,0.0,0.0
URU,7,1.0599,1.4626,0.042
USA,7,1.2179,1.4593,0.1949
UZB,7,0.7768,2.1798,0.0
ALG,8,0.876,1.9741,0.015
ARG,8,1.5997,0.9968,0.5387
AUS,8,0.8784,1.841,0.0228
AUT,8,0.9454,1.9388,0.0239
BEL,8,1.0959,1.6809,0.0623
BIH,8,0.7057,2.4884,0.0088
BRA,8,1.4593,1.2546,0.2413
CPV,8,0.5963,2.4408,0.0019
CAN,8,0.8384,1.8933,0.0512
COL,8,1.1522,1.2502,0.1754
COD,8,0.7793,2.1433,0.0023
CIV,8,0.9342,1.7804,0.0232
CRO,8,1.0117,1.6392,0.0465
CUW,8,0.0,0.0,0.0
CZE,8,0.0,0.0,0.0
ECU,8,1.0855,1.3588,0.0803
EGY,8,0.8274,1.916,0.032
ENG,8,1.4002,1.1191,0.25
FRA,8,1.464,1.0909,0.3886
GER,8,1.3653,1.5076,0.2097
GHA,8,0.712,2.2282,0.0047
HAI,8,0.0,0.0,0.0
IRN,8,0.7082,2.1409,0.0064
IRQ,8,0.8434,1.9864,0.0
JPN,8,1.1089,1.5784,0.0574
JOR,8,0.0,0.0,0.0
KOR,8,0.7521,2.0162,0.0108
MEX,8,1.025,1.4824,0.1761
MAR,8,0.9275,1.3757,0.1025
NED,8,1.2274,1.4073,0.2153
NZL,8,0.7998,2.0807,0.0001
NOR,8,1.3306,1.3653,0.227
PAN,8,0.7341,2.2568,0.0001
PAR,8,0.8997,1.6498,0.0374
POR,8,1.2793,1.2682,0.2163
QAT,8,0.0,0.0,0.0
KSA,8,0.5778,2.5236,0.0008
SCO,8,0.8354,1.9145,0.0018
SEN,8,0.9238,1.5053,0.0301
RSA,8,0.6245,2.3581,0.0083
ESP,8,1.5037,1.1032,0.405
SWE,8,0.9264,2.0066,0.0109
SUI,8,1.159,1.5046,0.0781
TUN,8,0.0,0.0,0.0
TUR,8,0.0,0.0,0.0
URU,8,1.0066,1.4812,0.042
USA,8,1.1255,1.5055,0.1949
UZB,8,0.7512,2.2699,0.0
