player,team,position,matched_club,matched_intl,club_suggestion,club_score,intl_suggestion,intl_score
Álvaro Montero,Colombia,GK,False,False,Álvaro David Montero,95.0,Álvaro David Montero,95.0
Gustavo Puerta,Colombia,MID,False,False,Gustavo Cuellar,75.9,,
Steve Kapuadi,Congo DR,DEF,False,False,,,,
Simon Banza,Congo DR,FWD,False,True,,,Simon Banza,100.0
Meschack Elia,Congo DR,FWD,False,False,Meschak Elia,96.0,Meschak Elia,96.0
Fiston Mayele,Congo DR,FWD,False,True,,,Fiston Mayele,100.0
Nathanaël Mbuku,Congo DR,FWD,False,True,Ngal'Ayel Mukau,69.0,Nathanael Mbuku,100.0
Brian Cipenga,Congo DR,FWD,False,True,,,Brian Cipenga,100.0
Matthieu Epolo,Congo DR,GK,True,False,,,,
Timothy Fayulu,Congo DR,GK,False,True,,,Timothy Fayulu,100.0
Théo Bongonda,Congo DR,MID,False,True,,,Theo Bongonda,100.0
Elye Wahi,Côte d'Ivoire,FWD,True,False,Elye Wahi,100.0,,
Mohamed Koné,Côte d'Ivoire,GK,True,False,Mohamed Koné,100.0,Mohamed Diomandé,78.6
Jean Michaël Seri,Côte d'Ivoire,MID,False,False,,,Jean Seri,85.5
Martin Erlic,Croatia,DEF,False,True,Marin Ljubicic,69.2,Martin Erlic,100.0
Ivor Pandur,Croatia,GK,True,False,Ivor Pandur,100.0,,
Toni Fruk,Croatia,MID,False,True,Toni Borevkovic,85.5,Toni Fruk,100.0
Godfried Roemeratoe,Curaçao,MID,False,True,,,Godfried Roemeratoe,100.0
Leandro Bacuna,Curaçao,DEF,False,True,Juninho Bacuna,64.3,Leandro Bacuna,100.0
Roshon van Eijma,Curaçao,DEF,False,True,,,Roshon van Eijma,100.0
Ar'Jany Martha,Curaçao,DEF,False,True,,,Ar'jany Martha,100.0
Juriën Gaari,Curaçao,DEF,False,True,,,Juriën Gaari,100.0
Kenji Gorré,Curaçao,FWD,False,True,,,Kenji Gorré,100.0
Jearl Margaritha,Curaçao,FWD,False,True,,,Jearl Margaritha,100.0
Gervane Kastaneer,Curaçao,FWD,False,True,,,Gervane Kastaneer,100.0
Eloy Room,Curaçao,GK,False,True,,,Eloy Room,100.0
Trevor Doornbusch,Curaçao,GK,False,False,,,,
Tyrick Bodak,Curaçao,GK,False,False,,,,
Kevin Felida,Curaçao,MID,False,True,,,Kevin Felida,100.0
Denis Visinsky,Czechia,MID,True,False,Denis Višinský,100.0,,
Tomás Ladra,Czechia,FWD,True,False,Tomáš Ladra,100.0,Tomáš Čvančara,72.0
Lukás Hornícek,Czechia,GK,True,False,Lukáš Horníček,100.0,Lukáš Červ,66.7
Pavel Bucha,Czechia,MID,True,False,Pavel Bucha,100.0,Pavel Šulc,76.2
Denil Castillo,Ecuador,MID,False,True,,,Denil Castillo,100.0
Jordy Alcívar,Ecuador,MID,False,True,,,Jordy Alcivar,100.0
Félix Torres,Ecuador,DEF,False,False,Félix Torres Caicedo,90.0,Félix Torres Caicedo,90.0
