id,player,position,price,team,abbr,4_Pts,4_PtsCond,4_PPlay,4_xMins,4_xG,4_xA,4_TeamXG,4_TeamXGA,4_PCleanSheet,5_Pts,5_PtsCond,5_PPlay,5_xMins,5_xG,5_xA,5_TeamXG,5_TeamXGA,5_PCleanSheet,6_Pts,6_PtsCond,6_PPlay,6_xMins,6_xG,6_xA,6_TeamXG,6_TeamXGA,6_PCleanSheet,7_Pts,7_PtsCond,7_PPlay,7_xMins,7_xG,7_xA,7_TeamXG,7_TeamXGA,7_PCleanSheet,8_Pts,8_PtsCond,8_PPlay,8_xMins,8_xG,8_xA,8_TeamXG,8_TeamXGA,8_PCleanSheet,ko_total
57,Enzo Fernández,MID,7.5,Argentina,ARG,5.148,5.148,1.0,80.79,0.219,0.192,3.028,0.54,0.583,3.894,4.417,0.882,80.79,0.161,0.142,2.23,0.69,0.501,2.939,3.983,0.738,80.79,0.13,0.114,1.795,0.847,0.429,2.065,3.787,0.545,80.79,0.117,0.103,1.618,0.963,0.382,2.046,3.753,0.545,80.79,0.115,0.102,1.597,1.005,0.366,16.09
492,Theo Hernández,DEF,5.0,France,FRA,5.959,5.959,1.0,87.34,0.061,0.05,2.252,0.701,0.496,3.624,4.37,0.829,87.34,0.046,0.037,1.67,1.121,0.326,2.74,5.187,0.528,87.34,0.048,0.039,1.774,0.873,0.418,1.681,4.384,0.383,87.34,0.04,0.032,1.464,1.094,0.335,1.682,4.388,0.383,87.34,0.04,0.032,1.471,1.094,0.335,15.69
468,Harry Kane,FWD,10.5,England,ENG,6.59,6.59,1.0,79.8,0.856,0.103,1.991,0.785,0.456,3.911,5.048,0.775,79.8,0.569,0.068,1.322,1.068,0.344,2.339,5.343,0.438,79.8,0.624,0.075,1.45,1.113,0.329,1.287,4.957,0.26,79.8,0.552,0.066,1.283,1.171,0.31,1.354,5.216,0.26,79.8,0.6,0.072,1.395,1.129,0.323,15.48
517,Michael Olise,MID,9.5,France,FRA,5.615,5.615,1.0,69.35,0.294,0.452,2.252,0.701,0.496,3.847,4.638,0.829,69.35,0.218,0.335,1.67,1.121,0.326,2.574,4.875,0.528,69.35,0.232,0.356,1.774,0.873,0.418,1.672,4.362,0.383,69.35,0.191,0.294,1.464,1.094,0.335,1.676,4.372,0.383,69.35,0.192,0.295,1.471,1.094,0.335,15.38
45,Emiliano Martínez,GK,5.0,Argentina,ARG,4.792,4.792,1.0,87.51,0.0,0.0,3.028,0.54,0.583,3.804,4.315,0.882,87.51,0.0,0.0,2.23,0.69,0.501,2.855,3.868,0.738,87.51,0.0,0.0,1.795,0.847,0.429,1.943,3.563,0.545,87.51,0.0,0.0,1.618,0.963,0.382,1.886,3.458,0.545,87.51,0.0,0.0,1.597,1.005,0.366,15.28
542,Joshua Kimmich,DEF,5.5,Germany,GER,6.584,6.584,1.0,83.28,0.26,0.334,2.284,0.886,0.412,3.447,4.376,0.788,83.28,0.169,0.217,1.487,1.424,0.241,2.169,5.479,0.396,83.28,0.208,0.267,1.827,1.104,0.332,1.177,4.462,0.264,83.28,0.172,0.221,1.511,1.396,0.248,1.146,4.345,0.264,83.28,0.165,0.213,1.455,1.419,0.242,14.52
39,Julián Alvarez,FWD,8.6,Argentina,ARG,4.473,4.473,1.0,73.46,0.317,0.296,3.028,0.54,0.583,3.369,3.822,0.882,73.46,0.234,0.218,2.23,0.69,0.501,2.558,3.466,0.738,73.46,0.188,0.175,1.795,0.847,0.429,1.811,3.322,0.545,73.46,0.169,0.158,1.618,0.963,0.382,1.802,3.305,0.545,73.46,0.167,0.156,1.597,1.005,0.366,14.01
1102,Marcos Llorente,DEF,5.5,Spain,ESP,4.889,4.889,1.0,65.75,0.028,0.072,2.213,0.839,0.432,3.38,4.34,0.779,65.75,0.021,0.055,1.682,0.981,0.375,2.447,4.628,0.529,65.75,0.025,0.063,1.942,0.903,0.405,1.58,4.027,0.392,65.75,0.021,0.054,1.638,1.088,0.337,1.556,3.964,0.392,65.75,0.019,0.049,1.515,1.101,0.332,13.85
56,Alexis Mac Allister,MID,6.6,Argentina,ARG,4.267,4.267,1.0,76.17,0.14,0.143,3.028,0.54,0.583,3.309,3.753,0.882,76.17,0.103,0.105,2.23,0.69,0.501,2.54,3.441,0.738,76.17,0.083,0.085,1.795,0.847,0.429,1.797,3.296,0.545,76.17,0.075,0.076,1.618,0.963,0.382,1.782,3.269,0.545,76.17,0.074,0.075,1.597,1.005,0.366,13.7
494,Dayot Upamecano,DEF,5.3,France,FRA,5.157,5.157,1.0,85.61,0.045,0.043,2.252,0.701,0.496,3.157,3.806,0.829,85.61,0.033,0.032,1.67,1.121,0.326,2.384,4.513,0.528,85.61,0.035,0.034,1.774,0.873,0.418,1.469,3.831,0.383,85.61,0.029,0.028,1.464,1.094,0.335,1.47,3.834,0.383,85.61,0.029,0.028,1.471,1.094,0.335,13.64
