round_id,fixture_id,date,home_id,away_id,home_team,away_team,home_abbr,away_abbr
1,1,2026-06-11T20:00:00+01:00,28,40,Mexico,South Africa,MEX,RSA
1,2,2026-06-12T03:00:00+01:00,27,15,Korea Republic,Czechia,KOR,CZE
1,3,2026-06-12T20:00:00+01:00,9,6,Canada,Bosnia and Herzegovina,CAN,BIH
1,4,2026-06-13T02:00:00+01:00,47,34,USA,Paraguay,USA,PAR
1,5,2026-06-13T20:00:00+01:00,36,43,Qatar,Switzerland,QAT,SUI
1,6,2026-06-13T23:00:00+01:00,7,29,Brazil,Morocco,BRA,MAR
1,7,2026-06-14T02:00:00+01:00,22,38,Haiti,Scotland,HAI,SCO
1,8,2026-06-14T05:00:00+01:00,3,45,Australia,Türkiye,AUS,TUR
1,9,2026-06-14T18:00:00+01:00,20,14,Germany,Curaçao,GER,CUW
1,10,2026-06-14T21:00:00+01:00,30,25,Netherlands,Japan,NED,JPN
1,11,2026-06-15T00:00:00+01:00,12,16,Côte d'Ivoire,Ecuador,CIV,ECU
1,12,2026-06-15T03:00:00+01:00,42,44,Sweden,Tunisia,SWE,TUN
1,13,2026-06-15T17:00:00+01:00,41,8,Spain,Cabo Verde,ESP,CPV
1,14,2026-06-15T20:00:00+01:00,5,17,Belgium,Egypt,BEL,EGY
1,15,2026-06-15T23:00:00+01:00,37,46,Saudi Arabia,Uruguay,KSA,URU
1,16,2026-06-16T02:00:00+01:00,23,31,IR Iran,New Zealand,IRN,NZL
1,17,2026-06-16T20:00:00+01:00,19,39,France,Senegal,FRA,SEN
1,18,2026-06-16T23:00:00+01:00,24,32,Iraq,Norway,IRQ,NOR
1,19,2026-06-17T02:00:00+01:00,2,1,Argentina,Algeria,ARG,ALG
1,20,2026-06-17T05:00:00+01:00,4,26,Austria,Jordan,AUT,JOR
1,21,2026-06-17T18:00:00+01:00,35,11,Portugal,Congo DR,POR,COD
1,22,2026-06-17T21:00:00+01:00,18,13,England,Croatia,ENG,CRO
1,23,2026-06-18T00:00:00+01:00,21,33,Ghana,Panama,GHA,PAN
1,24,2026-06-18T03:00:00+01:00,48,10,Uzbekistan,Colombia,UZB,COL
2,25,2026-06-18T17:00:00+01:00,15,40,Czechia,South Africa,CZE,RSA
2,26,2026-06-18T20:00:00+01:00,43,6,Switzerland,Bosnia and Herzegovina,SUI,BIH
2,27,2026-06-18T23:00:00+01:00,9,36,Canada,Qatar,CAN,QAT
2,28,2026-06-19T02:00:00+01:00,28,27,Mexico,Korea Republic,MEX,KOR
2,29,2026-06-19T20:00:00+01:00,47,3,USA,Australia,USA,AUS
2,30,2026-06-19T23:00:00+01:00,38,29,Scotland,Morocco,SCO,MAR
2,31,2026-06-20T01:30:00+01:00,7,22,Brazil,Haiti,BRA,HAI
2,32,2026-06-20T04:00:00+01:00,45,34,Türkiye,Paraguay,TUR,PAR
2,33,2026-06-20T18:00:00+01:00,30,42,Netherlands,Sweden,NED,SWE
2,34,2026-06-20T21:00:00+01:00,20,12,Germany,Côte d'Ivoire,GER,CIV
2,35,2026-06-21T01:00:00+01:00,16,14,Ecuador,Curaçao,ECU,CUW
2,36,2026-06-21T05:00:00+01:00,44,25,Tunisia,Japan,TUN,JPN
2,37,2026-06-21T17:00:00+01:00,41,37,Spain,Saudi Arabia,ESP,KSA
2,38,2026-06-21T20:00:00+01:00,5,23,Belgium,IR Iran,BEL,IRN
2,39,2026-06-21T23:00:00+01:00,46,8,Uruguay,Cabo Verde,URU,CPV
2,40,2026-06-22T02:00:00+01:00,31,17,New Zealand,Egypt,NZL,EGY
2,41,2026-06-22T18:00:00+01:00,2,4,Argentina,Austria,ARG,AUT
2,42,2026-06-22T22:00:00+01:00,19,24,France,Iraq,FRA,IRQ
2,43,2026-06-23T01:00:00+01:00,32,39,Norway,Senegal,NOR,SEN
2,44,2026-06-23T04:00:00+01:00,26,1,Jordan,Algeria,JOR,ALG
2,45,2026-06-23T18:00:00+01:00,35,48,Portugal,Uzbekistan,POR,UZB
2,46,2026-06-23T21:00:00+01:00,18,21,England,Ghana,ENG,GHA
2,47,2026-06-24T00:00:00+01:00,33,13,Panama,Croatia,PAN,CRO
2,48,2026-06-24T03:00:00+01:00,10,11,Colombia,Congo DR,COL,COD
3,49,2026-06-24T20:00:00+01:00,43,9,Switzerland,Canada,SUI,CAN
3,50,2026-06-24T20:00:00+01:00,6,36,Bosnia and Herzegovina,Qatar,BIH,QAT
3,51,2026-06-24T23:00:00+01:00,38,7,Scotland,Brazil,SCO,BRA
3,52,2026-06-24T23:00:00+01:00,29,22,Morocco,Haiti,MAR,HAI
3,54,2026-06-25T02:00:00+01:00,40,27,South Africa,Korea Republic,RSA,KOR
3,53,2026-06-25T02:00:00+01:00,15,28,Czechia,Mexico,CZE,MEX
3,56,2026-06-25T21:00:00+01:00,14,12,Curaçao,Côte d'Ivoire,CUW,CIV
3,55,2026-06-25T21:00:00+01:00,16,20,Ecuador,Germany,ECU,GER
3,58,2026-06-26T00:00:00+01:00,25,42,Japan,Sweden,JPN,SWE
3,57,2026-06-26T00:00:00+01:00,44,30,Tunisia,Netherlands,TUN,NED
3,59,2026-06-26T03:00:00+01:00,45,47,Türkiye,USA,TUR,USA
3,60,2026-06-26T03:00:00+01:00,34,3,Paraguay,Australia,PAR,AUS
3,62,2026-06-26T20:00:00+01:00,39,24,Senegal,Iraq,SEN,IRQ
3,61,2026-06-26T20:00:00+01:00,32,19,Norway,France,NOR,FRA
3,64,2026-06-27T01:00:00+01:00,8,37,Cabo Verde,Saudi Arabia,CPV,KSA
3,63,2026-06-27T01:00:00+01:00,46,41,Uruguay,Spain,URU,ESP
3,66,2026-06-27T04:00:00+01:00,17,23,Egypt,IR Iran,EGY,IRN
3,65,2026-06-27T04:00:00+01:00,31,5,New Zealand,Belgium,NZL,BEL
3,68,2026-06-27T22:00:00+01:00,13,21,Croatia,Ghana,CRO,GHA
3,67,2026-06-27T22:00:00+01:00,33,18,Panama,England,PAN,ENG
3,70,2026-06-28T00:30:00+01:00,11,48,Congo DR,Uzbekistan,COD,UZB
3,69,2026-06-28T00:30:00+01:00,10,35,Colombia,Portugal,COL,POR
3,72,2026-06-28T03:00:00+01:00,1,4,Algeria,Austria,ALG,AUT
3,71,2026-06-28T03:00:00+01:00,26,2,Jordan,Argentina,JOR,ARG
4,73,2026-06-28T20:00:00+01:00,40,9,South Africa,Canada,RSA,CAN
4,74,2026-06-29T18:00:00+01:00,7,25,Brazil,Japan,BRA,JPN
4,78,2026-06-29T21:30:00+01:00,20,34,Germany,Paraguay,GER,PAR
4,75,2026-06-30T02:00:00+01:00,30,29,Netherlands,Morocco,NED,MAR
4,77,2026-06-30T18:00:00+01:00,12,32,Côte d'Ivoire,Norway,CIV,NOR
4,79,2026-06-30T22:00:00+01:00,19,42,France,Sweden,FRA,SWE
4,82,2026-07-01T03:00:00+01:00,28,16,Mexico,Ecuador,MEX,ECU
4,83,2026-07-01T17:00:00+01:00,18,11,England,Congo DR,ENG,COD
4,84,2026-07-01T21:00:00+01:00,5,39,Belgium,Senegal,BEL,SEN
4,76,2026-07-02T01:00:00+01:00,47,6,USA,Bosnia and Herzegovina,USA,BIH
4,87,2026-07-02T20:00:00+01:00,41,4,Spain,Austria,ESP,AUT
4,85,2026-07-03T00:00:00+01:00,35,13,Portugal,Croatia,POR,CRO
4,88,2026-07-03T04:00:00+01:00,43,1,Switzerland,Algeria,SUI,ALG
4,81,2026-07-03T19:00:00+01:00,3,17,Australia,Egypt,AUS,EGY
4,80,2026-07-03T23:00:00+01:00,2,8,Argentina,Cabo Verde,ARG,CPV
4,86,2026-07-04T02:30:00+01:00,10,21,Colombia,Ghana,COL,GHA
5,89,2026-07-04T18:00:00+01:00,9,29,Canada,Morocco,CAN,MAR
5,91,2026-07-04T22:00:00+01:00,34,19,Paraguay,France,PAR,FRA
5,90,2026-07-05T21:00:00+01:00,7,32,Brazil,Norway,BRA,NOR
5,92,2026-07-06T02:00:00+01:00,28,18,Mexico,England,MEX,ENG
5,94,2026-07-06T20:00:00+01:00,35,41,Portugal,Spain,POR,ESP
5,93,2026-07-07T01:00:00+01:00,47,5,USA,Belgium,USA,BEL
5,95,2026-07-07T17:00:00+01:00,2,17,Argentina,Egypt,ARG,EGY
5,96,2026-07-07T21:00:00+01:00,43,10,Switzerland,Colombia,SUI,COL
6,97,2026-07-09T21:00:00+01:00,19,29,France,Morocco,FRA,MAR
6,99,2026-07-10T20:00:00+01:00,41,5,Spain,Belgium,ESP,BEL
6,98,2026-07-11T22:00:00+01:00,32,18,Norway,England,NOR,ENG
6,100,2026-07-12T02:00:00+01:00,2,43,Argentina,Switzerland,ARG,SUI
