Rk,Player,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,confederation
322,Ermedin Demirović,FW,Bosnia-Herzegovina,27,1998,7,7,655,7.3,1,0,1,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14,Matches,UEFA
328,Rúben Dias,DF,Portugal,28,1997,6,6,522,5.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
330,Lucas Digne,DF,France,32,1993,3,3,270,3.0,0,1,1,0,0,0,0,0,0.0,0.33,0.33,0.0,0.33,Matches,UEFA
339,Jeremy Doku,"MF,FW",Belgium,23,2002,8,8,642,7.1,5,3,8,5,0,0,0,0,0.7,0.42,1.12,0.7,1.12,Matches,UEFA
346,David Doudera,"MF,DF",Czechia,27,1998,4,2,153,1.7,1,1,2,1,0,0,0,0,0.59,0.59,1.18,0.59,1.18,Matches,UEFA
347,Désiré Doué,MF,France,20,2005,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
360,Denzel Dumfries,DF,Netherlands,29,1996,6,6,528,5.9,2,3,5,2,0,0,0,0,0.34,0.51,0.85,0.34,0.85,Matches,UEFA
364,Lyndon Dykes,FW,Scotland,30,1995,6,2,173,1.9,1,0,1,1,0,0,0,0,0.52,0.0,0.52,0.52,0.52,Matches,UEFA
365,Edin Džeko,FW,Bosnia-Herzegovina,39,1986,9,8,715,7.9,6,0,6,6,0,0,2,0,0.76,0.0,0.76,0.76,0.76,Matches,UEFA
368,Aron Dønnum,"FW,MF",Norway,27,1998,4,0,78,0.9,1,0,1,1,0,0,0,0,1.15,0.0,1.15,1.15,1.15,Matches,UEFA
374,Hjalmar Ekdal,DF,Sweden,27,1998,2,2,155,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
375,Hugo Ekitike,"MF,FW",France,23,2002,6,2,204,2.3,1,2,3,1,0,0,0,0,0.44,0.88,1.32,0.44,1.32,Matches,UEFA
376,Anthony Elanga,"MF,FW",Sweden,23,2002,6,5,413,4.6,2,0,2,2,0,0,0,0,0.44,0.0,0.44,0.44,0.44,Matches,UEFA
379,Niclas Eliasson,MF,Sweden,30,1995,1,0,27,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
381,Eren Elmalı,DF,Türkiye,25,2000,4,3,250,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
385,Nico Elvedi,DF,Switzerland,29,1996,6,6,540,6.0,1,0,1,1,0,0,0,0,0.17,0.0,0.17,0.17,0.17,Matches,UEFA
387,Breel Embolo,FW,Switzerland,28,1997,6,6,483,5.4,4,0,4,4,0,0,0,0,0.75,0.0,0.75,0.75,0.75,Matches,UEFA
388,Emanuel Emegha,FW,Netherlands,22,2003,2,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
393,Martin Erlic,DF,Croatia,28,1998,1,1,90,1.0,1,0,1,1,0,0,0,0,1.0,0.0,1.0,1.0,1.0,Matches,UEFA
394,Mustafa Eskihellaç,"DF,MF",Türkiye,28,1997,1,0,13,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
397,Eberechi Eze,"MF,FW",England,27,1998,6,2,252,2.8,3,0,3,3,0,0,0,0,1.07,0.0,1.07,1.07,1.07,Matches,UEFA
400,Wout Faes,DF,Belgium,27,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
401,Christian Fassnacht,"FW,MF",Switzerland,32,1993,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
402,João Félix,FW,Portugal,26,1999,5,2,192,2.1,2,1,3,2,0,0,1,0,0.94,0.47,1.41,0.94,1.41,Matches,UEFA
404,Lewis Ferguson,MF,Scotland,26,1999,5,5,450,5.0,1,1,2,1,0,0,3,0,0.2,0.2,0.4,0.2,0.4,Matches,UEFA
405,Bruno Fernandes,MF,Portugal,31,1994,5,5,391,4.3,3,0,3,1,2,2,2,0,0.69,0.0,0.69,0.23,0.23,Matches,UEFA
407,Mark Flekken,GK,Netherlands,32,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
408,Raul Florucz,FW,Austria,24,2001,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
409,Phil Foden,MF,England,25,2000,4,1,152,1.7,0,1,1,0,0,0,0,0,0.0,0.59,0.59,0.0,0.59,Matches,UEFA
410,Malick Fofana,MF,Belgium,20,2005,4,1,145,1.6,1,0,1,1,0,0,0,0,0.62,0.0,0.62,0.62,0.62,Matches,UEFA
411,Carlos Forbs,"FW,MF",Portugal,21,2004,1,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
412,Pablo Fornals,"FW,MF",Spain,29,1996,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
414,Emil Forsberg,"FW,MF",Sweden,34,1991,2,0,66,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
420,Remo Freuler,MF,Switzerland,33,1992,4,4,360,4.0,0,2,2,0,0,0,0,0,0.0,0.5,0.5,0.0,0.5,Matches,UEFA
421,Marco Friedl,DF,Austria,27,1998,3,1,124,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
422,Jeremie Frimpong,FW,Netherlands,25,2000,2,2,156,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
424,Toni Fruk,MF,Croatia,24,2001,5,2,252,2.8,1,0,1,1,0,0,0,0,0.36,0.0,0.36,0.36,0.36,Matches,UEFA
425,Jorge de Frutos,"FW,MF",Spain,28,1997,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
429,Cody Gakpo,"FW,MF",Netherlands,26,1999,8,8,650,7.2,4,4,8,1,3,3,0,0,0.55,0.55,1.11,0.14,0.69,Matches,UEFA
432,Ben Gannon-Doak,"MF,FW",Scotland,20,2005,6,5,335,3.7,1,1,2,1,0,0,1,0,0.27,0.27,0.54,0.27,0.54,Matches,UEFA
433,Aleix García,MF,Spain,28,1997,3,1,128,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
439,Jusuf Gazibegović,DF,Bosnia-Herzegovina,25,2000,2,1,123,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
440,Lutsharel Geertruida,DF,Netherlands,25,2000,3,1,112,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
446,Morgan Gibbs-White,"FW,MF",England,26,2000,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
448,Armin Gigovic,"MF,FW",Bosnia-Herzegovina,23,2002,8,5,325,3.6,1,0,1,1,0,0,1,0,0.28,0.0,0.28,0.28,0.28,Matches,UEFA
449,Billy Gilmour,MF,Scotland,24,2001,3,2,201,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
454,Serge Gnabry,MF,Germany,30,1995,6,6,433,4.8,3,1,4,3,0,0,0,0,0.62,0.21,0.83,0.62,0.83,Matches,UEFA
461,Pedro Gonçalves,"FW,MF",Portugal,27,1998,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
463,Anthony Gordon,"MF,FW",England,24,2001,5,2,188,2.1,1,0,1,1,0,0,1,0,0.48,0.0,0.48,0.48,0.48,Matches,UEFA
464,Craig Gordon,GK,Scotland,43,1982,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
466,Leon Goretzka,MF,Germany,30,1995,6,5,438,4.9,0,1,1,0,0,0,1,0,0.0,0.21,0.21,0.0,0.21,Matches,UEFA
471,Ryan Gravenberch,MF,Netherlands,23,2002,6,6,448,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
473,Michael Gregoritsch,"FW,MF",Austria,31,1994,8,5,419,4.7,4,0,4,4,0,0,1,0,0.86,0.0,0.86,0.86,0.86,Matches,UEFA
476,Florian Grillitsch,"DF,MF",Austria,30,1995,5,0,85,0.9,0,1,1,0,0,0,1,0,0.0,1.06,1.06,0.0,1.06,Matches,UEFA
477,Álex Grimaldo,DF,Spain,30,1995,1,1,90,1.0,0,1,1,0,0,0,0,0,0.0,1.0,1.0,0.0,1.0,Matches,UEFA
479,Pascal Groß,MF,Germany,34,1991,1,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
484,Marco Grüll,"FW,MF",Austria,27,1998,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
488,Gabriel Gudmundsson,"MF,DF",Sweden,26,1999,8,6,584,6.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
489,Marc Guéhi,DF,England,25,2000,3,3,255,2.8,1,1,2,1,0,0,0,0,0.35,0.35,0.71,0.35,0.71,Matches,UEFA
492,Deniz Gül,FW,Türkiye,21,2004,3,1,77,0.9,1,0,1,1,0,0,1,0,1.17,0.0,1.17,1.17,1.17,Matches,UEFA
493,Arda Güler,MF,Türkiye,20,2005,7,7,568,6.3,1,4,5,1,0,0,1,0,0.16,0.63,0.79,0.16,0.79,Matches,UEFA
495,Angus Gunn,GK,Scotland,30,1996,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
496,Malo Gusto,DF,France,22,2003,5,2,211,2.3,0,2,2,0,0,0,0,0,0.0,0.85,0.85,0.0,0.85,Matches,UEFA
500,Joško Gvardiol,DF,Croatia,24,2002,5,4,346,3.8,1,1,2,1,0,0,0,0,0.26,0.26,0.52,0.26,0.52,Matches,UEFA
501,Viktor Gyökeres,FW,Sweden,27,1998,6,6,540,6.0,4,1,5,3,1,1,0,0,0.67,0.17,0.83,0.5,0.67,Matches,UEFA
503,Erling Haaland,FW,Norway,25,2000,8,8,704,7.8,16,3,19,16,0,1,1,0,2.05,0.38,2.43,2.05,2.43,Matches,UEFA
505,Amir Hadžiahmetović,MF,Bosnia-Herzegovina,28,1997,4,0,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
506,Dennis Hadzikadunic,DF,Bosnia-Herzegovina,27,1998,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
509,Haris Hajradinović,"MF,FW",Bosnia-Herzegovina,31,1994,3,3,222,2.5,1,1,2,1,0,0,0,0,0.41,0.41,0.81,0.41,0.81,Matches,UEFA
514,Grant Hanley,DF,Scotland,34,1991,4,4,344,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
519,Quilindschy Hartman,DF,Netherlands,24,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
525,Jan Paul van Hecke,DF,Netherlands,25,2000,4,2,177,2.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
526,Aune Heggebø,FW,Norway,24,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
527,Torbjørn Heggem,DF,Norway,27,1999,8,7,664,7.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
528,Dean Henderson,GK,England,28,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
529,Jordan Henderson,MF,England,35,1990,6,1,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,UEFA
530,Jack Hendry,DF,Scotland,30,1995,1,1,71,0.8,0,1,1,0,0,0,0,0,0.0,1.27,1.27,0.0,1.27,Matches,UEFA
