id,player,position,price,status,percentSelected,squadId,team,abbr,group,elo,home_field,tactical_tilt,total_tilt,tilt_cat,round_id,opp_abbr,opp_elo,opp_home_field,opp_tactical_tilt
28,Cristian Romero,DEF,4.9,playing,8.8,2,Argentina,ARG,j,2065,0.0,-0.19,-0.11,Defensive,1,ALG,1766,0.0,-0.01
28,Cristian Romero,DEF,4.9,playing,8.8,2,Argentina,ARG,j,2065,0.0,-0.19,-0.11,Defensive,2,AUT,1798,0.0,0.29
28,Cristian Romero,DEF,4.9,playing,8.8,2,Argentina,ARG,j,2065,0.0,-0.19,-0.11,Defensive,3,JOR,1629,0.0,-0.16
29,Marcos Senesi,DEF,4.7,playing,0.3,2,Argentina,ARG,j,2065,0.0,-0.19,-0.11,Defensive,1,ALG,1766,0.0,-0.01
29,Marcos Senesi,DEF,4.7,playing,0.3,2,Argentina,ARG,j,2065,0.0,-0.19,-0.11,Defensive,2,AUT,1798,0.0,0.29
29,Marcos Senesi,DEF,4.7,playing,0.3,2,Argentina,ARG,j,2065,0.0,-0.19,-0.11,Defensive,3,JOR,1629,0.0,-0.16
30,Nahuel Molina,DEF,4.4,playing,4.9,2,Argentina,ARG,j,2065,0.0,-0.19,-0.11,Defensive,1,ALG,1766,0.0,-0.01
30,Nahuel Molina,DEF,4.4,playing,4.9,2,Argentina,ARG,j,2065,0.0,-0.19,-0.11,Defensive,2,AUT,1798,0.0,0.29
30,Nahuel Molina,DEF,4.4,playing,4.9,2,Argentina,ARG,j,2065,0.0,-0.19,-0.11,Defensive,3,JOR,1629,0.0,-0.16
31,Nicolás Otamendi,DEF,4.4,playing,1.6,2,Argentina,ARG,j,2065,0.0,-0.19,-0.11,Defensive,1,ALG,1766,0.0,-0.01
31,Nicolás Otamendi,DEF,4.4,playing,1.6,2,Argentina,ARG,j,2065,0.0,-0.19,-0.11,Defensive,2,AUT,1798,0.0,0.29
31,Nicolás Otamendi,DEF,4.4,playing,1.6,2,Argentina,ARG,j,2065,0.0,-0.19,-0.11,Defensive,3,JOR,1629,0.0,-0.16
34,Nicolás Tagliafico,DEF,4.3,playing,1.0,2,Argentina,ARG,j,2065,0.0,-0.19,-0.11,Defensive,1,ALG,1766,0.0,-0.01
34,Nicolás Tagliafico,DEF,4.3,playing,1.0,2,Argentina,ARG,j,2065,0.0,-0.19,-0.11,Defensive,2,AUT,1798,0.0,0.29
34,Nicolás Tagliafico,DEF,4.3,playing,1.0,2,Argentina,ARG,j,2065,0.0,-0.19,-0.11,Defensive,3,JOR,1629,0.0,-0.16
38,Lionel Messi,FWD,10.0,playing,55.0,2,Argentina,ARG,j,2065,0.0,-0.19,-0.11,Defensive,1,ALG,1766,0.0,-0.01
38,Lionel Messi,FWD,10.0,playing,55.0,2,Argentina,ARG,j,2065,0.0,-0.19,-0.11,Defensive,2,AUT,1798,0.0,0.29
38,Lionel Messi,FWD,10.0,playing,55.0,2,Argentina,ARG,j,2065,0.0,-0.19,-0.11,Defensive,3,JOR,1629,0.0,-0.16
