id,round,name,position,team,abbr,price,xP,xMins,squad,lineup,bench,captain,vicecaptain,transfer_in,transfer_out,multiplier,xp_contrib,booster,ft,iter
816,3,Tijjani Reijnders,MID,Netherlands,NED,6.5,3.59,60.0,1,0,3,0,0,1,0,0,0.0,WC,2,0
167,3,Danilo,DEF,Brazil,BRA,4.3,3.66,60.0,0,0,-1,0,0,0,1,0,0.0,WC,2,0
463,3,Ezri Konsa,DEF,England,ENG,4.8,4.81,85.0,0,0,-1,0,0,0,1,0,0.0,WC,2,0
494,3,Dayot Upamecano,DEF,France,FRA,5.3,3.26,60.0,0,0,-1,0,0,0,1,0,0.0,WC,2,0
525,3,Nathaniel Brown,DEF,Germany,GER,4.7,3.08,60.0,0,0,-1,0,0,0,1,0,0.0,WC,2,0
1093,3,Ferran Torres,FWD,Spain,ESP,7.8,4.49,60.0,0,0,-1,0,0,0,1,0,0.0,WC,2,0
1097,3,Víctor Muñoz,FWD,Spain,ESP,4.0,4.49,60.0,0,0,-1,0,0,0,1,0,0.0,WC,2,0
506,3,Mike Maignan,GK,France,FRA,5.0,3.13,60.0,0,0,-1,0,0,0,1,0,0.0,WC,2,0
1598,3,Manuel Neuer,GK,Germany,GER,5.0,2.95,60.0,0,0,-1,0,0,0,1,0,0.0,WC,2,0
1104,3,Rodri,MID,Spain,ESP,7.5,3.32,60.0,0,0,-1,0,0,0,1,0,0.0,WC,2,0
1157,3,Denis Zakaria,MID,Switzerland,SUI,6.1,3.07,60.0,0,0,-1,0,0,0,1,0,0.0,WC,2,0
1158,3,Rubén Vargas,MID,Switzerland,SUI,6.8,3.07,60.0,0,0,-1,0,0,0,1,0,0.0,WC,2,0
1369,3,Neymar,MID,Brazil,BRA,7.2,3.42,60.0,0,0,-1,0,0,0,1,0,0.0,WC,2,0
1431,3,Bradley Barcola,MID,France,FRA,8.0,3.13,60.0,0,0,-1,0,0,0,1,0,0.0,WC,2,0
